,target,state_var,test_score,train_mean,train_std,cv_mean,cv_std,strategy,dataset
0,input_Tac,state_An,-0.4175878428376384,-0.4230322995465562,0.006919154704004192,-0.45181314633348735,0.019400258578067434,4_folds,HydroShoot_large
1,input_u,state_An,-0.6560555961215019,-0.5708146002620811,0.01715382692112356,-0.6120869371327581,0.052547786709091486,4_folds,HydroShoot_large
2,input_hs,state_An,-0.7315066815310303,-0.5388505294173757,0.0038265843165070303,-0.6264467226086923,0.05573920930255235,4_folds,HydroShoot_large
3,input_Rg,state_An,-0.3421239597633098,-0.30895001070195316,0.007550222408918871,-0.32381658300246396,0.023463083073538605,4_folds,HydroShoot_large
4,output_Rg,state_An,-0.4017870203865307,-0.3764906927240895,0.0076738385943990895,-0.38896754139823697,0.023481618301894824,4_folds,HydroShoot_large
5,output_An,state_An,-0.5237830720408924,-0.49430518457490363,0.008918953153286342,-0.503462788313255,0.027525443840604256,4_folds,HydroShoot_large
6,output_E,state_An,-0.3637875572126965,-0.3416288573907708,0.003792397449414206,-0.3531019130302857,0.014420643850461979,4_folds,HydroShoot_large
7,output_Tleaf,state_An,-0.38792569071156946,-0.3904059461726528,0.005299461269104587,-0.4144844011479684,0.01564856160324613,4_folds,HydroShoot_large
8,input_Tac,state_E,-0.3563452914721346,-0.35768792646678127,0.0033570069183264896,-0.3744681666022663,0.0069260625978615235,4_folds,HydroShoot_large
9,input_u,state_E,-0.650622692257194,-0.5709082750176532,0.013023426178462803,-0.6104278871423279,0.05825533566846499,4_folds,HydroShoot_large
10,input_hs,state_E,-0.6183214311705876,-0.4707683090961443,0.006376858312797822,-0.5317212752320349,0.06314996394803543,4_folds,HydroShoot_large
11,input_Rg,state_E,-0.3446302403973217,-0.2931421176255335,0.010245606156144295,-0.3067728773974435,0.03115928014870753,4_folds,HydroShoot_large
12,output_Rg,state_E,-0.40773203600139457,-0.36867120893009464,0.009936095389382848,-0.38089148859387634,0.030705691721536,4_folds,HydroShoot_large
13,output_An,state_E,-0.6039864514057691,-0.5636959738011815,0.007084329722577517,-0.5792683056159613,0.022525501668042677,4_folds,HydroShoot_large
14,output_E,state_E,-0.35210158980549633,-0.3176468681619636,0.005016692869957916,-0.32531025676596365,0.018074445197028798,4_folds,HydroShoot_large
15,output_Tleaf,state_E,-0.3372239200408712,-0.33199550672984574,0.002628280035639677,-0.3459358174638818,0.00537630410681662,4_folds,HydroShoot_large
16,input_Tac,state_Eabs,-0.5882804797350372,-0.533845760830182,0.0033203367657842256,-0.5592885673787322,0.009652264219004527,4_folds,HydroShoot_large
17,input_u,state_Eabs,-0.6924031952597565,-0.5724651746614879,0.017222799639795467,-0.6085914711036948,0.05836392654695395,4_folds,HydroShoot_large
18,input_hs,state_Eabs,-0.8346798702314044,-0.5986307834350101,0.007192340749902045,-0.6711925483208874,0.054014050548146904,4_folds,HydroShoot_large
19,input_Rg,state_Eabs,-0.29464646528365157,-0.273590908638787,0.00782443591916651,-0.28606669603756657,0.02516953602160554,4_folds,HydroShoot_large
20,output_Rg,state_Eabs,-0.36429259929651064,-0.35115889007397405,0.008097119345471436,-0.3596719484635646,0.026456408421553383,4_folds,HydroShoot_large
21,output_An,state_Eabs,-0.6047818285407401,-0.5580500439343732,0.007156300963875872,-0.5691118749721413,0.024133441484284562,4_folds,HydroShoot_large
22,output_E,state_Eabs,-0.37197319883846686,-0.34318145338133166,0.0033247243022652777,-0.3546459481985489,0.01320399830536529,4_folds,HydroShoot_large
23,output_Tleaf,state_Eabs,-0.5054404005667528,-0.4691687141781525,0.0029908028612146676,-0.48971981589238983,0.008264945334812946,4_folds,HydroShoot_large
24,input_Tac,state_Ei,-0.5882804797350369,-0.533845760830182,0.0033203367657842256,-0.5592885673787322,0.009652264219004662,4_folds,HydroShoot_large
25,input_u,state_Ei,-0.6924031952597566,-0.5724651746614878,0.01722279963979546,-0.6085914711036948,0.05836392654695402,4_folds,HydroShoot_large
26,input_hs,state_Ei,-0.8346798702314043,-0.5986307834350101,0.007192340749902045,-0.6711925483208875,0.054014050548147015,4_folds,HydroShoot_large
27,input_Rg,state_Ei,-0.2946464652836515,-0.273590908638787,0.007824435919166489,-0.2860666960375664,0.025169536021605477,4_folds,HydroShoot_large
28,output_Rg,state_Ei,-0.36429259929651064,-0.35115889007397405,0.008097119345471429,-0.35967194846356465,0.026456408421553352,4_folds,HydroShoot_large
29,output_An,state_Ei,-0.60478182854074,-0.5580500439343732,0.007156300963875899,-0.5691118749721414,0.024133441484284573,4_folds,HydroShoot_large
30,output_E,state_Ei,-0.37197319883846686,-0.34318145338133166,0.003324724302265282,-0.354645948198549,0.01320399830536528,4_folds,HydroShoot_large
31,output_Tleaf,state_Ei,-0.5054404005667527,-0.4691687141781524,0.0029908028612146923,-0.4897198158923899,0.008264945334812956,4_folds,HydroShoot_large
32,input_Tac,state_Flux,-0.35778330077915704,-0.35652319915209085,0.0035595835331591144,-0.37540691805912485,0.008831211249119408,4_folds,HydroShoot_large
33,input_u,state_Flux,-0.6536479319478665,-0.565877290661957,0.01543581626430814,-0.6203550210863916,0.0592612321382988,4_folds,HydroShoot_large
34,input_hs,state_Flux,-0.6263227152772548,-0.46719920227709966,0.006595113965434022,-0.5354186896400965,0.0700651534673747,4_folds,HydroShoot_large
35,input_Rg,state_Flux,-0.35081682041039713,-0.2926556605221098,0.010197191045242592,-0.3075311397032307,0.03106045439757599,4_folds,HydroShoot_large
36,output_Rg,state_Flux,-0.41124602953262523,-0.36850825534564474,0.009883074986013846,-0.38126644565317136,0.030458744736950153,4_folds,HydroShoot_large
37,output_An,state_Flux,-0.6081019020564205,-0.5626975003593933,0.007153606800412654,-0.5804613838029462,0.0242047243385823,4_folds,HydroShoot_large
38,output_E,state_Flux,-0.35512789312394827,-0.3172296173574464,0.004984318817513759,-0.3256351716137574,0.017986773495244846,4_folds,HydroShoot_large
39,output_Tleaf,state_Flux,-0.33877306763833526,-0.3310025819137966,0.002832951931701422,-0.3467702781660212,0.007316792059676813,4_folds,HydroShoot_large
40,input_Tac,state_FluxC,-0.4169662748917924,-0.4252350215912626,0.007312711295102266,-0.45112178251055546,0.02169203342418378,4_folds,HydroShoot_large
41,input_u,state_FluxC,-0.6478688867950414,-0.5736805420049127,0.01930041672241809,-0.6104312174395123,0.056179591201025524,4_folds,HydroShoot_large
42,input_hs,state_FluxC,-0.7344866814940892,-0.5371294208559035,0.0038308775803529748,-0.627144079666426,0.057597759287165526,4_folds,HydroShoot_large
43,input_Rg,state_FluxC,-0.3491828099032018,-0.30895711142988014,0.008053394401564282,-0.3236763421572877,0.02705423183538496,4_folds,HydroShoot_large
44,output_Rg,state_FluxC,-0.4069604360276948,-0.3763160343075619,0.008048925756518537,-0.38853169677664845,0.025874281853890208,4_folds,HydroShoot_large
45,output_An,state_FluxC,-0.524855846755741,-0.4942103855659133,0.009092938927619193,-0.5033132736070859,0.027987997273411936,4_folds,HydroShoot_large
46,output_E,state_FluxC,-0.36457448615267307,-0.34206435004339103,0.003620690306834446,-0.35265895584098605,0.014461887164994693,4_folds,HydroShoot_large
47,output_Tleaf,state_FluxC,-0.3883967445536089,-0.39269712091357173,0.005721615448032269,-0.41479032074641237,0.0182908515356601,4_folds,HydroShoot_large
48,input_Tac,state_Tlc,-0.23368411169990205,-0.20298806391246924,0.003721376247213529,-0.21184890161550218,0.011226037755100832,4_folds,HydroShoot_large
49,input_u,state_Tlc,-0.6526366669754851,-0.5699180894621044,0.01810237730783825,-0.6265365381661647,0.0435875910102072,4_folds,HydroShoot_large
