,target,state_var,test_score,train_mean,train_std,cv_mean,cv_std,strategy,dataset
0,input_Tac,state_An,-0.4178726394576106,-0.42393376164122876,0.00941239034159445,-0.4908677367490779,0.05083626512271499,5_folds,HydroShoot_large
1,input_u,state_An,-0.6560555961215019,-0.5728997539913877,0.014718346029928563,-0.6205667843503035,0.06813081225417779,5_folds,HydroShoot_large
2,input_hs,state_An,-0.7328511888962417,-0.539937019110839,0.012245497641023345,-0.5928604686871828,0.05911575240201738,5_folds,HydroShoot_large
3,input_Rg,state_An,-0.3421239597633098,-0.3094275601930728,0.0034403096204594957,-0.3209676013354411,0.013910844559259923,5_folds,HydroShoot_large
4,output_Rg,state_An,-0.4023226165374428,-0.37635674358230214,0.003582769037123136,-0.38645125655428286,0.016462219258980552,5_folds,HydroShoot_large
5,output_An,state_An,-0.5237830720408924,-0.4943102043532658,0.005506271359678386,-0.5022353751650324,0.024378391932532308,5_folds,HydroShoot_large
6,output_E,state_An,-0.36354972960968834,-0.34192879133115944,0.00543298831955394,-0.3548872909041038,0.026596214255275696,5_folds,HydroShoot_large
7,output_Tleaf,state_An,-0.38806427617055184,-0.3911555921209449,0.009081388500575206,-0.44424184704231245,0.045830849076120554,5_folds,HydroShoot_large
8,input_Tac,state_E,-0.3560662543972254,-0.3585673529914585,0.006332490721948084,-0.40780319886071215,0.04112483595427834,5_folds,HydroShoot_large
9,input_u,state_E,-0.6522034155363732,-0.5687392953430395,0.01386460222294721,-0.6198624032786748,0.0608800628480012,5_folds,HydroShoot_large
10,input_hs,state_E,-0.6196456448713159,-0.4702126064124787,0.011206926527923756,-0.5059927484518658,0.047063009532413214,5_folds,HydroShoot_large
11,input_Rg,state_E,-0.3436703958266112,-0.2936751248222137,0.005158678426460082,-0.30776049692889973,0.02202529094020749,5_folds,HydroShoot_large
12,output_Rg,state_E,-0.4070271349386801,-0.3689914582285459,0.005917419612424078,-0.3815387883366438,0.026995828429182977,5_folds,HydroShoot_large
13,output_An,state_E,-0.6046945354194904,-0.5636474337937174,0.006368878052164034,-0.5778550140668463,0.027457039222155616,5_folds,HydroShoot_large
14,output_E,state_E,-0.35210158980549633,-0.31759886381468166,0.006138131618066765,-0.3276817813936989,0.029849989835060643,5_folds,HydroShoot_large
15,output_Tleaf,state_E,-0.33673515821824834,-0.3327578227020236,0.006295169229931948,-0.37104777163506864,0.03550134419977908,5_folds,HydroShoot_large
16,input_Tac,state_Eabs,-0.5882804797350372,-0.5333430504888154,0.015043982858422913,-0.6021052091591242,0.08227456591032761,5_folds,HydroShoot_large
17,input_u,state_Eabs,-0.689465541716101,-0.5764063820793424,0.01423442885082648,-0.6226942970024363,0.05794546673532238,5_folds,HydroShoot_large
18,input_hs,state_Eabs,-0.8346798702314044,-0.6003002247579338,0.01685565758870014,-0.6463669122926757,0.0902527386117905,5_folds,HydroShoot_large
19,input_Rg,state_Eabs,-0.29464646528365157,-0.27368905661389936,0.0017216179741617833,-0.2861130285542968,0.007194725213779159,5_folds,HydroShoot_large
20,output_Rg,state_Eabs,-0.36429259929651064,-0.3510973082009378,0.002299747734823701,-0.36010734832185476,0.01191497862387826,5_folds,HydroShoot_large
21,output_An,state_Eabs,-0.6032964441959211,-0.5586339401830672,0.008032657717650214,-0.5695811761180524,0.03259013751791762,5_folds,HydroShoot_large
22,output_E,state_Eabs,-0.37197319883846686,-0.3434256976796992,0.008188756213911876,-0.356555906901593,0.03938252130768745,5_folds,HydroShoot_large
23,output_Tleaf,state_Eabs,-0.5054404005667528,-0.46887580645435234,0.013349609445608823,-0.5212680322165951,0.0686537008300066,5_folds,HydroShoot_large
24,input_Tac,state_Ei,-0.5882804797350369,-0.5333430504888155,0.015043982858422938,-0.6021052091591244,0.0822745659103275,5_folds,HydroShoot_large
25,input_u,state_Ei,-0.6894655417161009,-0.5764063820793422,0.01423442885082646,-0.6226942970024363,0.05794546673532249,5_folds,HydroShoot_large
26,input_hs,state_Ei,-0.8346798702314043,-0.6003002247579338,0.016855657588700123,-0.6463669122926757,0.09025273861179049,5_folds,HydroShoot_large
27,input_Rg,state_Ei,-0.2946464652836515,-0.27368905661389936,0.0017216179741617738,-0.2861130285542969,0.007194725213779174,5_folds,HydroShoot_large
28,output_Rg,state_Ei,-0.36429259929651064,-0.3510973082009378,0.002299747734823701,-0.36010734832185487,0.011914978623878277,5_folds,HydroShoot_large
29,output_An,state_Ei,-0.6032964441959209,-0.5586339401830672,0.008032657717650164,-0.5695811761180524,0.03259013751791765,5_folds,HydroShoot_large
30,output_E,state_Ei,-0.37197319883846686,-0.3434256976796992,0.008188756213911881,-0.35655590690159294,0.039382521307687386,5_folds,HydroShoot_large
31,output_Tleaf,state_Ei,-0.5054404005667527,-0.46887580645435234,0.013349609445608826,-0.5212680322165952,0.06865370083000659,5_folds,HydroShoot_large
32,input_Tac,state_Flux,-0.35778330077915704,-0.3561996709309093,0.00638861254942707,-0.409551965920192,0.03948148173109138,5_folds,HydroShoot_large
33,input_u,state_Flux,-0.6641606758459577,-0.5596518076894788,0.013841262680915642,-0.6335862523669642,0.07091086221288098,5_folds,HydroShoot_large
34,input_hs,state_Flux,-0.6278612630723694,-0.4678602635835333,0.01128996128503217,-0.5088220013348874,0.04859753300339669,5_folds,HydroShoot_large
35,input_Rg,state_Flux,-0.35096505275691386,-0.2930901267669792,0.005433154221912097,-0.308646633823609,0.024201763485267595,5_folds,HydroShoot_large
