,target,state_var,test_score,train_mean,train_std,cv_mean,cv_std,strategy,dataset
0,input_Tac,state_An,-0.4364423489882135,-0.4484675245764756,0.0029738984709933368,-1.1092990894098202,1.2049049884404104,LeaveOneOut,HydroShoot_large
1,input_u,state_An,-0.65727180226987,-0.5809196305521295,0.005493907071932473,-0.9589454413323171,1.3107147012492912,LeaveOneOut,HydroShoot_large
2,input_hs,state_An,-0.7346787273429181,-0.5428166692963036,0.004152027091987125,-2.318110340142179,3.635874954031273,LeaveOneOut,HydroShoot_large
3,input_Rg,state_An,-0.34276337857490563,-0.30968915551574117,0.001787157775861578,-0.4309426805825786,0.24455338766138765,LeaveOneOut,HydroShoot_large
4,output_Rg,state_An,-0.4023226165374428,-0.3768412989267731,0.0019447943150256112,-0.5021736488052628,0.25481540760903154,LeaveOneOut,HydroShoot_large
5,output_An,state_An,-0.5235418193471837,-0.4949300779130917,0.0018172431916502229,-0.5572173804017199,0.10214816054623391,LeaveOneOut,HydroShoot_large
6,output_E,state_An,-0.3649504221648297,-0.342103195700635,0.0018590038993864667,-0.49241956240184737,0.2569979351343114,LeaveOneOut,HydroShoot_large
7,output_Tleaf,state_An,-0.4018902504168898,-0.4112838088730067,0.002659466285188106,-0.8171426773102902,0.7613696586178832,LeaveOneOut,HydroShoot_large
8,input_Tac,state_E,-0.3563606002904876,-0.36224726281140945,0.0032149828548392505,-0.884867599589251,0.9396597473922546,LeaveOneOut,HydroShoot_large
9,input_u,state_E,-0.649557805940496,-0.578586404154762,0.005957134685210689,-0.922107226944101,1.2181998271903811,LeaveOneOut,HydroShoot_large
10,input_hs,state_E,-0.6280726029534531,-0.47048521300835655,0.00334413069336819,-2.0166478570184796,3.5811671032053045,LeaveOneOut,HydroShoot_large
11,input_Rg,state_E,-0.3426997125263351,-0.29498397276966815,0.0017051195910858371,-0.4030505468483163,0.2275216083240667,LeaveOneOut,HydroShoot_large
12,output_Rg,state_E,-0.40547532983476997,-0.3703746301032387,0.0019692874921262266,-0.49181945201733446,0.26782968069811,LeaveOneOut,HydroShoot_large
13,output_An,state_E,-0.6032575567665661,-0.5651254974706459,0.0017471449071610363,-0.6365215417474974,0.09653494587891859,LeaveOneOut,HydroShoot_large
14,output_E,state_E,-0.35145472600092964,-0.3181045586437565,0.001960726773727772,-0.43290142662014913,0.17745665499602015,LeaveOneOut,HydroShoot_large
15,output_Tleaf,state_E,-0.3369553152898469,-0.3336640198161269,0.0026865587056660502,-0.65467117152175,0.5721903457001696,LeaveOneOut,HydroShoot_large
16,input_Tac,state_Eabs,-0.5882804797350372,-0.535532664056857,0.003219499622922184,-1.158598779905171,0.9822174946760704,LeaveOneOut,HydroShoot_large
17,input_u,state_Eabs,-0.689465541716101,-0.5786208130076693,0.0061804480940958525,-0.9530130802853428,1.306786291091941,LeaveOneOut,HydroShoot_large
18,input_hs,state_Eabs,-0.851546654144994,-0.5997668246259654,0.004300731860164471,-2.6227508459885502,4.599903470534517,LeaveOneOut,HydroShoot_large
19,input_Rg,state_Eabs,-0.29464646528365157,-0.27464226042503215,0.0016929658390208734,-0.3747636347714446,0.21671962701156597,LeaveOneOut,HydroShoot_large
20,output_Rg,state_Eabs,-0.36429259929651064,-0.35156497833931977,0.0018687931262620896,-0.4633738280248879,0.25043777662575195,LeaveOneOut,HydroShoot_large
21,output_An,state_Eabs,-0.6017925675569094,-0.5596780548645206,0.0021316743531315666,-0.6322566574918388,0.12144006887424075,LeaveOneOut,HydroShoot_large
22,output_E,state_Eabs,-0.3731792819724627,-0.3431701616656444,0.002136783518638648,-0.4812570313645806,0.22642608188072913,LeaveOneOut,HydroShoot_large
23,output_Tleaf,state_Eabs,-0.5054404005667528,-0.4707001479316593,0.0029523593184943996,-0.8585255406774085,0.6734262163101171,LeaveOneOut,HydroShoot_large
24,input_Tac,state_Ei,-0.5882804797350369,-0.5355326640568568,0.0032194996229221655,-1.158598779905171,0.9822174946760699,LeaveOneOut,HydroShoot_large
25,input_u,state_Ei,-0.6894655417161009,-0.5786208130076694,0.006180448094095861,-0.9530130802853424,1.3067862910919374,LeaveOneOut,HydroShoot_large
26,input_hs,state_Ei,-0.851546654144994,-0.5997668246259654,0.004300731860164474,-2.6227508459885494,4.5999034705345165,LeaveOneOut,HydroShoot_large
27,input_Rg,state_Ei,-0.2946464652836515,-0.2746422604250322,0.0016929658390208713,-0.3747636347714446,0.2167196270115658,LeaveOneOut,HydroShoot_large
28,output_Rg,state_Ei,-0.36429259929651064,-0.35156497833931977,0.0018687931262620875,-0.4633738280248878,0.25043777662575195,LeaveOneOut,HydroShoot_large
29,output_An,state_Ei,-0.6017925675569092,-0.5596780548645205,0.002131674353131564,-0.6322566574918388,0.12144006887424066,LeaveOneOut,HydroShoot_large
30,output_E,state_Ei,-0.3731792819724627,-0.3431701616656444,0.002136783518638653,-0.4812570313645806,0.226426081880729,LeaveOneOut,HydroShoot_large
31,output_Tleaf,state_Ei,-0.5054404005667527,-0.4707001479316592,0.0029523593184943935,-0.8585255406774088,0.673426216310117,LeaveOneOut,HydroShoot_large
32,input_Tac,state_Flux,-0.35787685046555373,-0.3585144532783456,0.003125453492109095,-0.8888321034438185,0.9228485175011687,LeaveOneOut,HydroShoot_large
33,input_u,state_Flux,-0.6432521130708692,-0.6134545333048081,0.006236796540943545,-0.9200166685743405,1.0614932082470137,LeaveOneOut,HydroShoot_large
34,input_hs,state_Flux,-0.6282855469605039,-0.47045800050443487,0.0033512977134676756,-2.0146049849686527,3.5735181080691247,LeaveOneOut,HydroShoot_large
