,target,state_var,dataset,note,test_score,train_mean,train_std,cv_mean,cv_std
0,input_air_temperature,state__An,combined,,-0.2974162393512335,-0.2692543356734965,0.0053796496940826544,-2.011532466479993,3.813735360901217
1,input_air_temperature,state__Transpiration,combined,,-0.37871749926717607,-0.2784790159428426,0.01086220430135452,-2.4030687630475156,4.601930203390505
2,input_air_temperature,state__S_Sucrose,combined,,-0.7073148784439665,-0.6530871497765031,0.02283962882293028,-4.9006232153390235,9.774169675063389
3,input_air_temperature,state__Ts,combined,,-0.052543598123069586,-0.044237501549844904,0.003326857936404833,-0.17773583927261033,0.11875235454647284
4,input_air_temperature,state__gs,combined,,-0.4868224433510304,-0.3589987535361568,0.010752132528084025,-2.380607736561945,4.278812483987646
5,input_air_temperature,state__Ag,combined,,-0.6925945347734419,-0.4086045896778313,0.015860254371244414,-3.5524349553375028,6.269639213061174
6,input_air_temperature,state__Tr,combined,,-0.2097150051377644,-0.20607762735735669,0.008992895367452044,-1.889249986223056,3.7431039892336573
7,input_air_temperature,state__sucrose,combined,,-0.8995057281954818,-0.764788228624296,0.02178104405554307,-6.309723262933197,13.977256778963325
8,input_air_temperature,state__Rd,combined,,-0.3097797989474654,-0.07130127848009694,0.002639314092099714,-0.4827013612911956,1.024948765139613
9,input_air_temperature,state__sum_respi,combined,,-0.4295817921182894,-0.13779298949238433,0.005811399698904768,-1.487022178917672,2.877650963198692
10,input_air_temperature,state__Photosynthesis,combined,,-0.649330526321279,-0.4880840466145009,0.013026440009800017,-3.901586725830909,8.332697927423517
11,input_air_temperature,state__PARa,combined,,-0.722992709217912,-0.7063806032716661,0.012811288171002218,-4.85689882291635,10.616928755083434
12,input_humidity,state__An,combined,,-0.6838212322442824,-0.5614650556635827,0.013286961007171989,-1.992850081834769,1.313967886799672
13,input_humidity,state__Transpiration,combined,,-0.2806327923646647,-0.25461936492926046,0.013283919546061085,-0.9732340834201335,1.1404582228128708
14,input_humidity,state__S_Sucrose,combined,,-0.7290520001737468,-0.6244839868359701,0.017101872170028686,-2.3370534761965196,1.890702678387022
15,input_humidity,state__Ts,combined,,-0.32585886194358893,-0.13898864698955812,0.00551299049945044,-0.5689796107927678,0.6236697688758499
16,input_humidity,state__gs,combined,,-0.8322561967281235,-0.5898828746019249,0.014092929645638097,-2.19210016896927,1.2503618256402342
