,target,state_var,dataset,note,test_score,train_mean,train_std,cv_mean,cv_std
0,input_air_temperature,state__An,combined,,-0.27460424145321555,-0.2694765097739858,0.005452908994507163,-1.9953115391708263,3.7824532830650086
1,input_air_temperature,state__Transpiration,combined,,-0.37119009366769024,-0.2786588755018904,0.010880176866553942,-2.4106285456878798,4.641627711206117
2,input_air_temperature,state__S_Sucrose,combined,,-0.7386877264319912,-0.6760272609545017,0.021544261896560935,-4.93589065964302,10.137498161793078
3,input_air_temperature,state__Ts,combined,,-0.05255672600200166,-0.044280258558550147,0.003330944969015796,-0.1779348004789636,0.11876245026587998
4,input_air_temperature,state__gs,combined,,-0.5175264048804007,-0.4152609680258023,0.011546967360421016,-2.9745045843308198,5.602103556223297
5,input_air_temperature,state__Ag,combined,,-0.4984270054957948,-0.48149141403991597,0.013679330520220316,-3.9321957761799706,7.150972408237491
6,input_air_temperature,state__Tr,combined,,-0.2234683693489096,-0.21051559612498263,0.009298799869254464,-1.9389563464570727,3.8774141819088292
7,input_air_temperature,state__sucrose,combined,,-0.9005325890678563,-0.7615438938150376,0.020443362502912062,-6.196847900344868,13.653147109283594
8,input_air_temperature,state__Rd,combined,,-0.3078352456344061,-0.07130145252141266,0.0026393038262071556,-0.48272875988653835,1.0251443234865645
9,input_air_temperature,state__sum_respi,combined,,-0.4268788668824798,-0.13847918536106976,0.005489118586731591,-1.4388432358673595,2.7617237243662576
10,input_air_temperature,state__Photosynthesis,combined,,-0.5628147439635139,-0.5605229311084985,0.010793323025654049,-4.571696572259633,9.09835165616446
11,input_air_temperature,state__PARa,combined,,-0.7229583741485324,-0.706535756821361,0.012839511511857096,-4.8366479591050116,10.601282606162643
12,input_humidity,state__An,combined,,-0.6649808445937749,-0.5773500808618519,0.013644678021686332,-2.0451251287610663,1.3278640052914688
13,input_humidity,state__Transpiration,combined,,-0.3103391378933647,-0.26020136800991933,0.011946719316501474,-0.98711145631387,0.8403877787758505
14,input_humidity,state__S_Sucrose,combined,,-0.7428620511411219,-0.641876782224013,0.01623487181640548,-2.275704445468536,1.8326332353930461
15,input_humidity,state__Ts,combined,,-0.32708675000865395,-0.13920400791659765,0.005515728631615227,-0.569655203511448,0.6242599869062896
16,input_humidity,state__gs,combined,,-0.838361709860167,-0.6112905728065201,0.012747830324897718,-2.318365190443371,1.5028536417729872
17,input_humidity,state__Ag,combined,,-0.7585684402829442,-0.5850699649492024,0.015518172020159,-2.1251001633393805,1.6365356692809632
18,input_humidity,state__Tr,combined,,-0.1734042240423625,-0.1586569950041426,0.007984771835673232,-0.5942725382516275,0.4409359396210231
19,input_humidity,state__sucrose,combined,,-1.0985060830544962,-0.5846441663226443,0.023871937082545373,-2.4715125832435807,3.393933747115556
20,input_humidity,state__Rd,combined,,-0.7586250295770938,-0.5734007020776044,0.015241752332309408,-2.1259317018619672,1.5237410746262607
21,input_humidity,state__sum_respi,combined,,-1.1922398867475383,-0.4222667077384175,0.02140230166041295,-2.0077519295507043,1.2712279957997334
22,input_humidity,state__Photosynthesis,combined,,-0.8013749592956165,-0.6623503734429232,0.015822383948573722,-2.295333105086731,1.9954765025982788
23,input_humidity,state__PARa,combined,,-0.8467478779231049,-0.6718683491883343,0.016525655658517935,-2.2075515320947283,1.9024969099202758
24,input_PARi,state__An,combined,,-0.11864549450766765,-0.1317701693621048,0.006302928650499741,-0.2184880092616993,0.19396398576636656
25,input_PARi,state__Transpiration,combined,,-0.16638474917157442,-0.14435234186389842,0.005780697280985379,-0.2462563291042472,0.17318318296029975
26,input_PARi,state__S_Sucrose,combined,,-0.11492287706844526,-0.1326653790455844,0.0066942335796660365,-0.21925600240505752,0.19822440869777067
27,input_PARi,state__Ts,combined,,-0.197492030735758,-0.15725461941468188,0.007446008329293088,-0.293408396655104,0.26098925321277966
28,input_PARi,state__gs,combined,,-0.17673631107506144,-0.15764502137174533,0.007016800547137088,-0.2732389692726823,0.1870134685586618
29,input_PARi,state__Ag,combined,,-0.11576204106400705,-0.1307246433459773,0.006568898164211231,-0.2183098196343924,0.19650228113946128
30,input_PARi,state__Tr,combined,,-0.1468609216543352,-0.134655865132812,0.006042267898516724,-0.22192082864272197,0.1783700079329099
31,input_PARi,state__sucrose,combined,,-0.5523224876222613,-0.48974129146406303,0.01043531425360516,-0.815912145744135,0.6126003096733486
32,input_PARi,state__Rd,combined,,-0.16610045941033222,-0.1795017328114648,0.0069035755715178455,-0.3126053468108094,0.2620031447368174
33,input_PARi,state__sum_respi,combined,,-0.5686880258730982,-0.3178738611275485,0.011463851941265339,-0.5595077078788494,0.45398715740266843
34,input_PARi,state__Photosynthesis,combined,,-0.11620633734215038,-0.128227247431233,0.006457161142171532,-0.21398450946483363,0.2051899126867387
35,input_PARi,state__PARa,combined,,-0.11544570003947431,-0.13373240748020637,0.006261380292204578,-0.21260099509346517,0.18661679775295115
36,output__axes__Total_Transpiration,state__An,combined,,-0.15908864153583033,-0.06605181193708591,0.0016418772591502199,-0.2115064399717414,0.27413889516853107
37,output__axes__Total_Transpiration,state__Transpiration,combined,,-0.00018211949243555968,-0.00017231873365285627,6.070124461103516e-06,-0.0005632314190033191,0.0006146842785431128
38,output__axes__Total_Transpiration,state__S_Sucrose,combined,,-0.15618270536722925,-0.14405049747630222,0.006364963385253631,-0.45399126354642305,0.6667010699797662
39,output__axes__Total_Transpiration,state__Ts,combined,,-0.17682901389297345,-0.03833337430591155,0.002931888706229858,-0.2682091850739011,0.5828961165079458
