,target,state_var,dataset,test_score,train_mean,train_std,cv_mean,cv_std,strategy
0,input_air_temperature,state__An,combined,-0.27460424145321555,-0.2694765097739858,0.005452908994507163,-1.9953115391708263,3.7824532830650086,LeaveOneOut
1,input_air_temperature,state__An,combined_env_reservoir,-2.926753992434616e-14,-3.238962441681652e-14,4.539490998338088e-15,-3.036496158829822e-13,6.362464320165827e-13,LeaveOneOut
2,input_air_temperature,state__An,combined_env_temp_only,-1.7592195220153e-14,-1.9129021516382807e-14,2.931119658326723e-15,-1.6363020488236232e-13,4.0237776106589184e-13,LeaveOneOut
3,input_air_temperature,state__Transpiration,combined,-0.37119009366769024,-0.27865887550189034,0.010880176866553942,-2.4106285456878798,4.641627711206117,LeaveOneOut
4,input_air_temperature,state__Transpiration,combined_env_reservoir,-2.926753992434616e-14,-3.238962441681652e-14,4.539490998338088e-15,-3.036496158829822e-13,6.362464320165827e-13,LeaveOneOut
5,input_air_temperature,state__Transpiration,combined_env_temp_only,-1.7592195220153e-14,-1.9129021516382807e-14,2.931119658326723e-15,-1.6363020488236232e-13,4.0237776106589184e-13,LeaveOneOut
6,input_air_temperature,state__S_Sucrose,combined,-0.7386877264319912,-0.6760272609545016,0.021544261896560935,-4.93589065964302,10.137498161793078,LeaveOneOut
7,input_air_temperature,state__S_Sucrose,combined_env_reservoir,-2.926753992434616e-14,-3.238962441681652e-14,4.539490998338088e-15,-3.036496158829822e-13,6.362464320165827e-13,LeaveOneOut
8,input_air_temperature,state__S_Sucrose,combined_env_temp_only,-1.7592195220153e-14,-1.9129021516382807e-14,2.931119658326723e-15,-1.6363020488236232e-13,4.0237776106589184e-13,LeaveOneOut
9,input_air_temperature,state__Ts,combined,-0.05255672600200166,-0.044280258558550147,0.0033309449690157957,-0.1779348004789636,0.11876245026587998,LeaveOneOut
10,input_air_temperature,state__Ts,combined_env_reservoir,-2.926753992434616e-14,-3.238962441681652e-14,4.539490998338088e-15,-3.036496158829822e-13,6.362464320165827e-13,LeaveOneOut
11,input_air_temperature,state__Ts,combined_env_temp_only,-1.7592195220153e-14,-1.9129021516382807e-14,2.931119658326723e-15,-1.6363020488236232e-13,4.0237776106589184e-13,LeaveOneOut
12,input_air_temperature,state__gs,combined,-0.5175264048804007,-0.4152609680258023,0.011546967360421016,-2.9745045843308198,5.602103556223297,LeaveOneOut
13,input_air_temperature,state__gs,combined_env_reservoir,-2.926753992434616e-14,-3.238962441681652e-14,4.539490998338088e-15,-3.036496158829822e-13,6.362464320165827e-13,LeaveOneOut
14,input_air_temperature,state__gs,combined_env_temp_only,-1.7592195220153e-14,-1.9129021516382807e-14,2.931119658326723e-15,-1.6363020488236232e-13,4.0237776106589184e-13,LeaveOneOut
15,input_air_temperature,state__Ag,combined,-0.4984270054957948,-0.48149141403991597,0.013679330520220315,-3.9321957761799706,7.150972408237491,LeaveOneOut
16,input_air_temperature,state__Ag,combined_env_reservoir,-2.926753992434616e-14,-3.238962441681652e-14,4.539490998338088e-15,-3.036496158829822e-13,6.362464320165827e-13,LeaveOneOut
17,input_air_temperature,state__Ag,combined_env_temp_only,-1.7592195220153e-14,-1.9129021516382807e-14,2.931119658326723e-15,-1.6363020488236232e-13,4.0237776106589184e-13,LeaveOneOut
18,input_air_temperature,state__Tr,combined,-0.2234683693489096,-0.2105155961249826,0.009298799869254464,-1.9389563464570727,3.8774141819088292,LeaveOneOut
19,input_air_temperature,state__Tr,combined_env_reservoir,-2.926753992434616e-14,-3.238962441681652e-14,4.539490998338088e-15,-3.036496158829822e-13,6.362464320165827e-13,LeaveOneOut
20,input_air_temperature,state__Tr,combined_env_temp_only,-1.7592195220153e-14,-1.9129021516382807e-14,2.931119658326723e-15,-1.6363020488236232e-13,4.0237776106589184e-13,LeaveOneOut
21,input_air_temperature,state__sucrose,combined,-0.9005325890678563,-0.7615438938150376,0.02044336250291206,-6.196847900344868,13.653147109283593,LeaveOneOut
22,input_air_temperature,state__sucrose,combined_env_reservoir,-2.926753992434616e-14,-3.238962441681652e-14,4.539490998338088e-15,-3.036496158829822e-13,6.362464320165827e-13,LeaveOneOut
23,input_air_temperature,state__sucrose,combined_env_temp_only,-1.7592195220153e-14,-1.9129021516382807e-14,2.931119658326723e-15,-1.6363020488236232e-13,4.0237776106589184e-13,LeaveOneOut
24,input_air_temperature,state__Rd,combined,-0.3078352456344061,-0.07130145252141268,0.0026393038262071556,-0.48272875988653846,1.0251443234865647,LeaveOneOut
25,input_air_temperature,state__Rd,combined_env_reservoir,-2.926753992434616e-14,-3.238962441681652e-14,4.539490998338088e-15,-3.036496158829822e-13,6.362464320165827e-13,LeaveOneOut
26,input_air_temperature,state__Rd,combined_env_temp_only,-1.7592195220153e-14,-1.9129021516382807e-14,2.931119658326723e-15,-1.6363020488236232e-13,4.0237776106589184e-13,LeaveOneOut
27,input_air_temperature,state__sum_respi,combined,-0.4268788668824798,-0.13847918536106976,0.005489118586731591,-1.4388432358673595,2.7617237243662576,LeaveOneOut
28,input_air_temperature,state__sum_respi,combined_env_reservoir,-2.926753992434616e-14,-3.238962441681652e-14,4.539490998338088e-15,-3.036496158829822e-13,6.362464320165827e-13,LeaveOneOut
