,target,state_var,dataset,test_score,train_mean,train_std,cv_mean,cv_std,strategy
33,input_air_temperature,state__Rd,NEMA_H3,-0.14165856080231753,-0.05735534941304556,0.0022557396480489813,-0.4647505653335364,1.0357183161007206,LeaveOneOut
34,input_air_temperature,state__Rd,NEMA_H15,-0.1318397005415819,-0.0579474845104841,0.0021478271241783115,-0.44386799838770746,1.0041988075489126,LeaveOneOut
35,input_air_temperature,state__Rd,combined,-0.3078352456344061,-0.07130145252141268,0.0026393038262071556,-0.48272875988653846,1.0251443234865647,LeaveOneOut
36,input_air_temperature,state__sum_respi,NEMA_H0,-0.11377239892906665,-0.06600283876766491,0.0018034107207277209,-0.8682850800797932,1.7949267463773662,LeaveOneOut
37,input_air_temperature,state__sum_respi,NEMA_H3,-0.5642070598692829,-0.06947188996890681,0.002284164371909422,-0.6638785322587575,1.5492465931220942,LeaveOneOut
38,input_air_temperature,state__sum_respi,NEMA_H15,-0.47524204301077927,-0.0705464755644389,0.0021608333881202135,-1.008924819626047,2.085974757767762,LeaveOneOut
39,input_air_temperature,state__sum_respi,combined,-0.4268788668824798,-0.13847918536106976,0.005489118586731591,-1.4388432358673595,2.7617237243662576,LeaveOneOut
40,input_air_temperature,state__Photosynthesis,NEMA_H0,-0.7227620751620722,-0.43199685665430493,0.01983007845484872,-4.225006758320523,8.59153040726683,LeaveOneOut
41,input_air_temperature,state__Photosynthesis,NEMA_H3,-1.3720876745475599,-0.5137054569950771,0.01938126876552315,-4.909222587952682,10.304014795024353,LeaveOneOut
42,input_air_temperature,state__Photosynthesis,NEMA_H15,-0.7744556141632012,-0.5628139880114228,0.016409572658309123,-5.119301730165354,10.688231707060444,LeaveOneOut
43,input_air_temperature,state__Photosynthesis,combined,-0.5628147439635139,-0.5605229311084984,0.010793323025654049,-4.571696572259633,9.098351656164459,LeaveOneOut
44,input_air_temperature,state__PARa,NEMA_H0,-0.7295529235715775,-0.7289888964526015,0.017131755607230563,-5.376098880572471,11.148425713658423,LeaveOneOut
45,input_air_temperature,state__PARa,NEMA_H3,-0.7109471896627555,-0.6968523671202518,0.013226525130737863,-5.4421369147724,11.862294030955553,LeaveOneOut
46,input_air_temperature,state__PARa,NEMA_H15,-0.731686860571729,-0.6976162006245586,0.012062696250792489,-5.057802597344552,11.12447834876755,LeaveOneOut
47,input_air_temperature,state__PARa,combined,-0.7229583741485324,-0.706535756821361,0.012839511511857096,-4.8366479591050116,10.601282606162643,LeaveOneOut
48,input_humidity,state__An,NEMA_H0,-0.9204158013861563,-0.4695606707711194,0.019063940728994106,-2.1087388521894352,1.376166988340217,LeaveOneOut
49,input_humidity,state__An,NEMA_H3,-0.8645530166651268,-0.5194617166739242,0.014886609252821745,-1.862873450161494,1.4017268744247764,LeaveOneOut
50,input_humidity,state__An,NEMA_H15,-0.6788527803248753,-0.6353480082278838,0.01917651617227993,-2.43769922596784,2.088669928965129,LeaveOneOut
51,input_humidity,state__An,combined,-0.6649808445937749,-0.577350080861852,0.013644678021686334,-2.0451251287610663,1.3278640052914688,LeaveOneOut
52,input_humidity,state__Transpiration,NEMA_H0,-0.36817700954139876,-0.19131573978408636,0.013430503317818872,-0.866481803264548,0.6851262053640115,LeaveOneOut
53,input_humidity,state__Transpiration,NEMA_H3,-0.5240640452006077,-0.19390103509858703,0.008579153897914138,-0.6597301501910043,0.4530614433915325,LeaveOneOut
54,input_humidity,state__Transpiration,NEMA_H15,-0.28490902654069694,-0.1853145384056228,0.008268011124009714,-0.8765952479359251,0.7787388833513776,LeaveOneOut
55,input_humidity,state__Transpiration,combined,-0.3103391378933647,-0.26020136800991933,0.011946719316501474,-0.98711145631387,0.8403877787758505,LeaveOneOut
56,input_humidity,state__S_Sucrose,NEMA_H0,-0.8038723110532746,-0.6570147326042155,0.01977801209899038,-2.837953892068847,2.343607770774695,LeaveOneOut
57,input_humidity,state__S_Sucrose,NEMA_H3,-0.9759558284570327,-0.5325685787773756,0.016972782802342844,-2.041311763676792,1.8019902430760264,LeaveOneOut
58,input_humidity,state__S_Sucrose,NEMA_H15,-0.8005162232060843,-0.694445414070825,0.0157304966460256,-2.400136070071514,2.163680778743628,LeaveOneOut
59,input_humidity,state__S_Sucrose,combined,-0.7428620511411219,-0.6418767822240129,0.01623487181640548,-2.275704445468536,1.8326332353930463,LeaveOneOut
60,input_humidity,state__Ts,NEMA_H0,-0.35505423538466846,-0.14733040602089129,0.00778868485765733,-0.6481847725132979,0.5124226905176048,LeaveOneOut
61,input_humidity,state__Ts,NEMA_H3,-0.3383470531401199,-0.15240086711521333,0.006463438758286977,-0.5958470362599919,0.6205480620050232,LeaveOneOut
62,input_humidity,state__Ts,NEMA_H15,-0.29989387924409255,-0.14857783432246863,0.006029923074583597,-0.5861392096014767,0.6702784481769504,LeaveOneOut
63,input_humidity,state__Ts,combined,-0.32708675000865395,-0.13920400791659765,0.005515728631615227,-0.569655203511448,0.6242599869062896,LeaveOneOut
64,input_humidity,state__gs,NEMA_H0,-0.9083814172658461,-0.5532053800488572,0.01961749546478745,-2.510795651147778,1.2937771843494263,LeaveOneOut
65,input_humidity,state__gs,NEMA_H3,-0.8527785074477836,-0.5740909184656974,0.01553044083484014,-2.2408600523638595,1.5221622733264093,LeaveOneOut
66,input_humidity,state__gs,NEMA_H15,-0.9859586820698207,-0.7072564157689623,0.014389460940448595,-2.434435662519034,2.0079320965948226,LeaveOneOut
67,input_humidity,state__gs,combined,-0.838361709860167,-0.6112905728065201,0.012747830324897718,-2.318365190443371,1.5028536417729872,LeaveOneOut
68,input_humidity,state__Ag,NEMA_H0,-0.8394522259249839,-0.5979434352180177,0.020327250292221263,-2.7599784879279223,2.1422992819165416,LeaveOneOut
69,input_humidity,state__Ag,NEMA_H3,-0.9943422429738921,-0.5316225872378314,0.017366317216545007,-1.8863309088110927,1.712028309903093,LeaveOneOut
70,input_humidity,state__Ag,NEMA_H15,-0.8225575583089881,-0.7165089468680148,0.016864934962233964,-2.4487632858138255,2.256324526696941,LeaveOneOut
71,input_humidity,state__Ag,combined,-0.7585684402829442,-0.5850699649492024,0.015518172020159,-2.1251001633393805,1.636535669280963,LeaveOneOut
72,input_humidity,state__Tr,NEMA_H0,-0.21986377496032247,-0.1757466553183065,0.01242188044668252,-0.7499383491954467,0.48987753380162696,LeaveOneOut
