,target,state_var,dataset,test_score,train_mean,train_std,cv_mean,cv_std,strategy
0,input_air_temperature,state__An,NEMA_H0,-0.3752798022146208,-0.24560329790394014,0.018445931020828893,-0.5024093279438259,0.2058761431990664,5_folds
1,input_air_temperature,state__An,NEMA_H3,-0.4560592969774778,-0.2297546404408118,0.00287967268116787,-0.38804197776493976,0.12954188262306282,5_folds
2,input_air_temperature,state__An,NEMA_H15,-0.26378492953099086,-0.2748627969997571,0.01024517169930285,-0.5069489878353497,0.23292111960818812,5_folds
3,input_air_temperature,state__An,combined,-0.27460424145321555,-0.26614228731764844,0.015232222296633423,-0.48062459492541343,0.19714420871205213,5_folds
4,input_air_temperature,state__Transpiration,NEMA_H0,-0.46224631896972396,-0.3696077715088114,0.024009731700701083,-0.6788511589792827,0.26393119629136,5_folds
5,input_air_temperature,state__Transpiration,NEMA_H3,-0.3715105620669258,-0.2671849338396034,0.01627631723268727,-0.49150045017705174,0.1575861837857194,5_folds
6,input_air_temperature,state__Transpiration,NEMA_H15,-0.32363276605322744,-0.2998541759289553,0.04225028038542408,-0.5478614853683341,0.13339191253055835,5_folds
7,input_air_temperature,state__Transpiration,combined,-0.3618168364703318,-0.2765849100571055,0.015049011629566,-0.513426409282185,0.1589156495809602,5_folds
8,input_air_temperature,state__S_Sucrose,NEMA_H0,-0.7734507717562653,-0.653393318066704,0.04627225023318166,-1.3181552431199062,0.6731493811102218,5_folds
9,input_air_temperature,state__S_Sucrose,NEMA_H3,-0.5793740013915997,-0.6176723789066321,0.01198144212278363,-1.1362561506188662,0.34894389591818437,5_folds
10,input_air_temperature,state__S_Sucrose,NEMA_H15,-0.6886732727645496,-0.5920519487552184,0.05635136292693643,-1.0804569129337662,0.2675944401822382,5_folds
11,input_air_temperature,state__S_Sucrose,combined,-0.8295197297405441,-0.7555289440543577,0.03178500869903367,-1.2179439506186402,0.5340347724097656,5_folds
12,input_air_temperature,state__Ts,NEMA_H0,-0.06283876603011722,-0.048469488436362,0.0056569489766188545,-0.08551225458801522,0.044098733087493173,5_folds
13,input_air_temperature,state__Ts,NEMA_H3,-0.048680866858783034,-0.042026722101202986,0.004620828045650929,-0.06930341863126285,0.03579037774520759,5_folds
14,input_air_temperature,state__Ts,NEMA_H15,-0.04821885430433833,-0.04262111861029559,0.004934353327544054,-0.06844053679108865,0.025803140220131367,5_folds
15,input_air_temperature,state__Ts,combined,-0.05220828372384875,-0.044639978604384775,0.006929113168622038,-0.06716631043068075,0.03507558471580166,5_folds
16,input_air_temperature,state__gs,NEMA_H0,-0.49610361359028227,-0.4071228715002867,0.02654753660406647,-0.879136164259514,0.29493895244907103,5_folds
17,input_air_temperature,state__gs,NEMA_H3,-0.437479717969513,-0.37982429000383133,0.018691334924574327,-0.731508821625779,0.33889568944346143,5_folds
18,input_air_temperature,state__gs,NEMA_H15,-0.4946766143062087,-0.36824992816613467,0.03268762175097125,-0.6152480170466453,0.15602175244966282,5_folds
19,input_air_temperature,state__gs,combined,-0.5175264048804007,-0.42144902979618876,0.032645126851597074,-0.7651777912418861,0.36335902159304434,5_folds
20,input_air_temperature,state__Ag,NEMA_H0,-0.793779985856874,-0.40993765638562324,0.035227598639047154,-0.9165683034600397,0.3538561922922954,5_folds
21,input_air_temperature,state__Ag,NEMA_H3,-0.5449138880546675,-0.42536038427284434,0.017006328018175584,-0.7941593529906064,0.22245722037732416,5_folds
22,input_air_temperature,state__Ag,NEMA_H15,-0.45338047427324385,-0.47303804164650654,0.02760993811011741,-0.884732638294001,0.32335207745799494,5_folds
23,input_air_temperature,state__Ag,combined,-0.4984270054957948,-0.48145444742853716,0.024820834052727274,-1.0033015851059823,0.41269350970936364,5_folds
24,input_air_temperature,state__Tr,NEMA_H0,-0.22218922926179072,-0.21291901014062486,0.026442036589832744,-0.5110338391505398,0.20910590145753208,5_folds
25,input_air_temperature,state__Tr,NEMA_H3,-0.19822910283339268,-0.2169759145465898,0.012602395578029717,-0.4447031625258612,0.1877348956400379,5_folds
26,input_air_temperature,state__Tr,NEMA_H15,-0.2458990864062844,-0.2166447078826111,0.025331921618317363,-0.3696217538221725,0.07232815545704753,5_folds
27,input_air_temperature,state__Tr,combined,-0.21078552699546965,-0.21976849445672206,0.016463376646326664,-0.45454260042871325,0.22908968922860806,5_folds
28,input_air_temperature,state__sucrose,NEMA_H0,-0.9763787718623346,-0.7115916362248467,0.07316686930136808,-1.5505457544163803,1.0319451676342528,5_folds
29,input_air_temperature,state__sucrose,NEMA_H3,-0.6682357733051416,-0.6378269424679981,0.02625360000788421,-1.2935030762059427,0.5862452773356156,5_folds
30,input_air_temperature,state__sucrose,NEMA_H15,-0.7348019816637897,-0.6288072545290296,0.07235480171398259,-1.3588436315040204,0.5341594334175911,5_folds
31,input_air_temperature,state__sucrose,combined,-0.9134049734703664,-0.7599522541599193,0.01514732482530182,-1.4685392201236211,0.39378495217646386,5_folds
32,input_air_temperature,state__Rd,NEMA_H0,-0.06612803189133756,-0.061544807186846594,0.0022742178105994914,-0.15308704988340244,0.08801255887957204,5_folds
33,input_air_temperature,state__Rd,NEMA_H3,-0.13597991787472377,-0.057055903177608794,0.003672650392270979,-0.10570095971840945,0.057586648391243236,5_folds
34,input_air_temperature,state__Rd,NEMA_H15,-0.1103498751269385,-0.05865455274847488,0.004149426456848304,-0.09650348772528025,0.025881655487291055,5_folds
35,input_air_temperature,state__Rd,combined,-0.3078352456344061,-0.07078702146434904,0.006241349504972579,-0.11765653496777836,0.07104773538673179,5_folds
