,target,state_var,dataset,test_score,train_mean,train_std,cv_mean,cv_std,strategy
0,input_air_temperature,state__An,NEMA_H0,-0.3423968932848658,-0.24761571628458415,0.04589090806434485,-0.3497411776949373,0.07745592757195142,3_folds
1,input_air_temperature,state__An,NEMA_H3,-0.6094403346108689,-0.21589523793899204,0.016420097824620873,-0.29884921850741347,0.04909056093705324,3_folds
2,input_air_temperature,state__An,NEMA_H15,-0.26378492953099086,-0.2736278242942624,0.02611983693822247,-0.44600630918621914,0.12323385366632385,3_folds
3,input_air_temperature,state__An,combined,-0.27460424145321555,-0.2706017291098159,0.014143573099914965,-0.553220749158927,0.07543579428841309,3_folds
4,input_air_temperature,state__Transpiration,NEMA_H0,-0.5123115192946235,-0.24462793256457505,0.018982374215808295,-0.4648691117197811,0.0365877149336325,3_folds
5,input_air_temperature,state__Transpiration,NEMA_H3,-0.3346450728511396,-0.2739859285639519,0.028551092637467367,-0.35998030312696844,0.09002776632906874,3_folds
6,input_air_temperature,state__Transpiration,NEMA_H15,-0.31923217005379084,-0.2956254146491775,0.02014702838934777,-0.5623776883062878,0.13331651594981897,3_folds
7,input_air_temperature,state__Transpiration,combined,-0.3554822940484857,-0.3091882063189865,0.08881040095608929,-0.5402029816246552,0.12109641423005026,3_folds
8,input_air_temperature,state__S_Sucrose,NEMA_H0,-0.8118908773980545,-0.7491116855474805,0.06612615168149286,-0.9023307984879635,0.1020180639807237,3_folds
9,input_air_temperature,state__S_Sucrose,NEMA_H3,-0.5651204769510711,-0.5888476192084661,0.017843396738858004,-0.7902000902310479,0.1188608601527057,3_folds
10,input_air_temperature,state__S_Sucrose,NEMA_H15,-0.8524044853572003,-0.7530723087338012,0.009210716805528311,-0.9596358636979158,0.11214654463176404,3_folds
11,input_air_temperature,state__S_Sucrose,combined,-0.7448044213387213,-0.6847962453393114,0.052343422580551524,-1.312883505315491,0.38781715722735394,3_folds
12,input_air_temperature,state__Ts,NEMA_H0,-0.06307270096752317,-0.052462173245585386,0.016299347670179976,-0.06698160078761518,0.02722394531365912,3_folds
13,input_air_temperature,state__Ts,NEMA_H3,-0.04877392646289163,-0.04543278098514058,0.013876264384066445,-0.056024915416115345,0.022179176129437643,3_folds
14,input_air_temperature,state__Ts,NEMA_H15,-0.04809598290946714,-0.04461966219740681,0.00987343299090282,-0.05730329050241242,0.029691409423208828,3_folds
15,input_air_temperature,state__Ts,combined,-0.05220828372384875,-0.047622185728585065,0.010835803031084364,-0.08171612116321757,0.025392598147664758,3_folds
16,input_air_temperature,state__gs,NEMA_H0,-0.49610361359028227,-0.3910413353044179,0.011528305767922489,-0.6059140845641386,0.050688968248757134,3_folds
17,input_air_temperature,state__gs,NEMA_H3,-0.437479717969513,-0.38886485400105814,0.0381028409006682,-0.5305620910712503,0.06046761703929945,3_folds
18,input_air_temperature,state__gs,NEMA_H15,-0.4946766143062087,-0.3633282131909487,0.036079048982405895,-0.7328626291482262,0.2677303518737413,3_folds
19,input_air_temperature,state__gs,combined,-0.5175264048804007,-0.4285470550704002,0.017015958677622442,-0.859074587849784,0.2634378755265429,3_folds
20,input_air_temperature,state__Ag,NEMA_H0,-0.793779985856874,-0.41798285876932995,0.06054857749554635,-0.7583569175320144,0.027503652319597265,3_folds
21,input_air_temperature,state__Ag,NEMA_H3,-0.5449138880546675,-0.43993759515954234,0.058366882491031294,-0.5604631459341091,0.03135251853665926,3_folds
22,input_air_temperature,state__Ag,NEMA_H15,-0.45338047427324385,-0.45255157198909557,0.010797772870467159,-0.9390789550874628,0.17706256692892786,3_folds
23,input_air_temperature,state__Ag,combined,-0.4984270054957948,-0.49394761684307875,0.03551074387633338,-1.1254923441203701,0.09794431834784735,3_folds
24,input_air_temperature,state__Tr,NEMA_H0,-0.20672626803054323,-0.20617907389041856,0.018049735722251322,-0.44707078147407814,0.0595561053411979,3_folds
25,input_air_temperature,state__Tr,NEMA_H3,-0.1995296436509411,-0.20802499797519558,0.01995563144113072,-0.31711531276318405,0.056360846649467014,3_folds
26,input_air_temperature,state__Tr,NEMA_H15,-0.2567093465297085,-0.1899500860669593,0.007675680153380078,-0.48631319850396304,0.11443126626084385,3_folds
27,input_air_temperature,state__Tr,combined,-0.20951466451152692,-0.2410926799625631,0.0793378268238149,-0.479496544050521,0.0967659014960369,3_folds
28,input_air_temperature,state__sucrose,NEMA_H0,-0.9655005043937481,-0.631557546973004,0.050286669010531186,-1.1487704487806019,0.05179458122755228,3_folds
29,input_air_temperature,state__sucrose,NEMA_H3,-0.7348016283774184,-0.6883828900471988,0.11040179658951423,-0.8190995257651926,0.18283555130972018,3_folds
30,input_air_temperature,state__sucrose,NEMA_H15,-0.8976652053764806,-0.6650194967258384,0.11036680192965972,-1.1243607540083056,0.10037827481214069,3_folds
31,input_air_temperature,state__sucrose,combined,-0.8353708172159089,-0.7131063561704378,0.08264236242492262,-1.3707591522068305,0.5749178110956524,3_folds
32,input_air_temperature,state__Rd,NEMA_H0,-0.06612803189133756,-0.062326511647170964,0.006942781768166892,-0.0988875818777238,0.007704890344505175,3_folds
33,input_air_temperature,state__Rd,NEMA_H3,-0.14165856080231753,-0.05682166405414927,0.006654384446550564,-0.08256999305605274,0.012729946495025485,3_folds
34,input_air_temperature,state__Rd,NEMA_H15,-0.1078328382428944,-0.057344896574254955,0.005346772685397899,-0.09406478720805955,0.028774612262749077,3_folds
35,input_air_temperature,state__Rd,combined,-0.2569486529309912,-0.07227223804040805,0.004259474666380472,-0.14646845729833846,0.011468735417348178,3_folds
