time,Rg,An,E,Tleaf
2012-08-01 00:00:00,0.0,-2.3495090364138624,4.913592154944593e-11,16.799597968050023
2012-08-01 01:00:00,0.0,-2.5719833984936384,7.401515381282251e-11,18.017951805760788
2012-08-01 02:00:00,0.0,-2.71043200562946,7.290567294961811e-11,18.66364711986074
2012-08-01 03:00:00,0.0,-2.6491462474699388,7.055894323084109e-11,18.28898527278864
2012-08-01 04:00:00,0.0,-2.46017445958342,5.385429151297053e-11,17.218247969984418
2012-08-01 05:00:00,2.7333659977091047,-1.472409327828565,6.4419796133432365,17.08330430325134
2012-08-01 06:00:00,54.984896198233486,13.65184421625635,176.7008551996179,19.061705997535284
2012-08-01 07:00:00,190.3293521428373,31.177413114597822,399.1279791966533,21.82531555017175
2012-08-01 08:00:00,178.15619535450557,30.6034338691191,372.28687790491927,23.749891557066064
2012-08-01 09:00:00,391.44697190395215,37.133934963183165,448.8895566755494,25.62988445170339
2012-08-01 10:00:00,480.3467440786244,32.85793700862847,424.9848710785405,27.981774002162467
2012-08-01 11:00:00,502.2519325206218,31.18950606150095,393.7495677259345,27.34739304240605
2012-08-01 12:00:00,495.46273345798346,31.29696797927285,338.11605898458265,27.196148404137887
2012-08-01 13:00:00,528.2108888211001,26.57746708576346,314.17018493163914,28.34151538079334
2012-08-01 14:00:00,496.8900376472575,24.84664682965867,271.7236472792068,29.450080886198634
2012-08-01 15:00:00,452.57329519961206,23.11667984923221,239.7665870377893,29.634132764222613
2012-08-01 16:00:00,370.35488551480506,25.204331197605043,195.94875472353425,27.272567088387238
2012-08-01 17:00:00,264.64851670500235,25.41165174198812,160.21953634952345,25.60782401352401
2012-08-01 18:00:00,131.76762746581866,21.341896954170267,106.41295407414434,24.075359657817444
2012-08-01 19:00:00,28.59356929607269,4.836447668835256,35.5107370261566,22.40647729979605
2012-08-01 20:00:00,0.0,-3.3962583587667545,7.30121036269289e-12,22.15044868968306
2012-08-01 21:00:00,0.0,-3.2725110070162136,5.415150134533383e-12,21.605899750203776
2012-08-01 22:00:00,0.0,-3.079053995577593,4.395647836127762e-12,20.758842195612488
2012-08-01 23:00:00,0.0,-3.0480818167464294,2.02297742570666e-12,20.613288952326627
2012-08-02 00:00:00,0.0,-2.820392277406388,1.4280110405119809e-11,19.523970474999487
2012-08-02 01:00:00,0.0,-2.707041631195258,2.0294446962255183e-11,18.840890857793735
2012-08-02 02:00:00,0.0,-2.608216868230034,9.198459722367528e-12,18.23064324307512
2012-08-02 03:00:00,0.0,-2.666502554774768,1.4019055276038558e-11,18.496649629756572
2012-08-02 04:00:00,0.0,-2.619080749309412,1.7816146583534018e-11,18.163953605760582
2012-08-02 05:00:00,3.3506384019951,-1.4285813914722043,2.6774109486128435,18.01787420655017
2012-08-02 06:00:00,62.83099468262666,15.653946846698048,54.568364378371214,19.02019161799558
2012-08-02 07:00:00,196.6695515619137,30.72215628789496,272.9732240252914,22.431149428884737
2012-08-02 08:00:00,381.8152541401012,27.261406896045,373.7241444302436,27.62089336076724
2012-08-02 09:00:00,457.99633700302667,23.612894433076526,323.51973163115866,29.18724875829668
2012-08-02 10:00:00,480.9845535672112,18.8189405731376,286.1060756476496,30.80749871997847
2012-08-02 11:00:00,497.0459655567197,15.680502015940874,253.26572036027213,31.653132200517803
2012-08-02 12:00:00,521.0444567865877,14.504952355207898,213.72706270479384,31.86112530852887
2012-08-02 13:00:00,508.171657303292,13.217814281086508,193.43432071620236,32.263941131837726
2012-08-02 14:00:00,491.1295604887996,13.901189496337814,176.12566980438297,31.482176143475613
2012-08-02 15:00:00,452.76837222053473,13.829629120222997,164.86717187440104,30.941353525626027
2012-08-02 16:00:00,372.50736050091575,16.11670403518286,194.90664048163964,29.92534086224612
2012-08-02 17:00:00,261.7255895970023,15.97559033635459,159.2582606254936,29.07127705969549
2012-08-02 18:00:00,132.6639264537038,12.494921454198169,108.60975165796933,27.644205803564542
2012-08-02 19:00:00,26.936658899566112,2.4963025005413835,34.06313164579024,26.25775266206506
2012-08-02 20:00:00,0.0,-4.324945732504656,2.2813514895034648e-12,26.352246737120534
2012-08-02 21:00:00,0.0,-4.628793404470581,2.7861664925689555e-12,27.59470949067912
2012-08-02 22:00:00,0.0,-4.538022926828489,2.4257399662605122e-12,27.220865641842465
2012-08-02 23:00:00,0.0,-3.5031633461578986,1.6874714524946924e-12,22.72149581112211
2012-08-03 00:00:00,0.0,-3.045897949621215,1.3428645435358983e-11,20.552794240992057
2012-08-03 01:00:00,0.0,-3.55317731729518,1.9302130045999943e-11,22.92864034859167
2012-08-03 02:00:00,0.0,-3.2388071729237358,1.03987711911914e-11,21.508459075399344
2012-08-03 03:00:00,0.0,-3.22375561028285,1.200488050150928e-11,21.387152355888134
2012-08-03 04:00:00,0.0,-2.9365845748729407,1.385624542486066e-11,19.87189733630288
2012-08-03 05:00:00,2.3830853618205885,-1.9040958136054047,2.2321539309727867,19.19391318766065
2012-08-03 06:00:00,53.89374177379108,10.159082320557628,83.04283541815558,22.289165245255788
2012-08-03 07:00:00,214.91108892888727,14.95365623772986,129.94332857270945,26.026194115803264
2012-08-03 08:00:00,380.7738325271423,14.219848776284874,157.7586073326779,28.23680881165444
2012-08-03 09:00:00,459.8103352761872,11.650916579712424,150.31993769774252,30.16936679699603
2012-08-03 10:00:00,467.6834420439554,9.527601574371472,134.0207874443603,31.4010718393327
2012-08-03 11:00:00,442.4052421426453,8.58975953345982,126.12162608807792,31.86411140158043
2012-08-03 12:00:00,523.2759703920714,4.798044492775123,83.10859623353394,33.9845542727972
