,target_id,reservoir_id,dataset_id,benchmark,exponent,test_score,train_mean,train_std,cv_mean,cv_std
0,input_air_temperature,state__An,NEMA_combined,polynomial,1,-0.2945455872343518,-0.21036515630870584,0.005476907284283766,-0.8102826675810609,0.6625656920241606
1,input_air_temperature,state__An,NEMA_combined,polynomial,2,-0.24097522806874042,-0.17843801077012364,0.00473755632539588,-0.8924172044131449,0.9617612278375907
2,input_air_temperature,state__An,NEMA_combined,polynomial,3,-0.21388218573929804,-0.16743167588975016,0.004861420199393207,-1.1320438271919695,1.5492556676309044
3,input_air_temperature,state__An,NEMA_combined,polynomial,4,-0.20614901054436213,-0.17340711807742948,0.006607349159592565,-1.7447108103258402,2.7542752207008037
4,input_air_temperature,state__An,NEMA_combined,polynomial,5,-0.21314296889836892,-0.19215887326096187,0.00965370421584625,-3.4848007811941257,5.829332154213487
5,input_air_temperature,state__An,NEMA_combined,polynomial,6,-0.2300506794915022,-0.21839286710069636,0.013308173323858617,-8.901897852345092,18.044513772952055
6,input_air_temperature,state__An,NEMA_combined,polynomial,7,-0.45630979645799585,-0.5249942599988241,0.04299500725214903,-19.77333599814735,36.12347965342034
7,input_air_temperature,state__An,NEMA_combined,polynomial,8,-0.4891143433005906,-0.5795362189493816,0.044908902599837895,-41.97598522323641,80.08794077771454
8,input_air_temperature,state__An,NEMA_combined,polynomial,9,-0.5275617247211143,-0.634418183602087,0.04511901695905399,-94.36019685045298,187.83058341699206
9,input_air_temperature,state__Transpiration,NEMA_combined,polynomial,1,-0.3613378302962551,-0.2501295904952583,0.015485700196695575,-1.2743758928476825,1.2552698813448284
10,input_air_temperature,state__Transpiration,NEMA_combined,polynomial,2,-0.32388885244207616,-0.21410767196904462,0.01516594647151096,-1.435265097426687,1.5761147513421807
11,input_air_temperature,state__Transpiration,NEMA_combined,polynomial,3,-0.31466997375558237,-0.2007191579568724,0.015426886715602581,-1.9524693626491125,2.825653172013497
12,input_air_temperature,state__Transpiration,NEMA_combined,polynomial,4,-0.33287576694682314,-0.2082271732977085,0.016556285552812067,-3.1515466309542215,5.4167797191028
13,input_air_temperature,state__Transpiration,NEMA_combined,polynomial,5,-0.33644501258626075,-0.24408040703311923,0.018144116382280136,-5.880276992681894,10.243577108401574
14,input_air_temperature,state__Transpiration,NEMA_combined,polynomial,6,-0.3042435589437299,-0.34483237640976544,0.019124570208532945,-11.559548553056628,16.506938307890945
15,input_air_temperature,state__Transpiration,NEMA_combined,polynomial,7,-0.3180826340427673,-0.3903981200828067,0.019229120007552145,-24.48138942869694,34.139651494308914
16,input_air_temperature,state__Transpiration,NEMA_combined,polynomial,8,-0.3455290653927963,-0.46840950607782456,0.01811985022980627,-56.4163895550585,81.05093067875912
17,input_air_temperature,state__Transpiration,NEMA_combined,polynomial,9,-0.39290963975770515,-0.5549659409301659,0.016104584634561846,-139.452799752716,227.2747276052657
18,input_air_temperature,state__S_Sucrose,NEMA_combined,polynomial,1,-0.711866013358485,-0.547296815100142,0.014349503023524264,-2.1092172131810782,1.796340236191632
19,input_air_temperature,state__S_Sucrose,NEMA_combined,polynomial,2,-0.6876469925472422,-0.5445529716720207,0.015097452335279163,-2.6600183938574546,2.8351959098766506
20,input_air_temperature,state__S_Sucrose,NEMA_combined,polynomial,3,-0.66200253273312,-0.5359786285983905,0.01557558007515949,-3.8044810980458372,4.945497969069945
21,input_air_temperature,state__S_Sucrose,NEMA_combined,polynomial,4,-0.6489862484331359,-0.541097659605156,0.017438145253057175,-6.135357171700379,9.160419197469352
22,input_air_temperature,state__S_Sucrose,NEMA_combined,polynomial,5,-0.7073685218355895,-0.6301386992975325,0.030235056518700083,-10.63257033121582,16.386104682410494
23,input_air_temperature,state__S_Sucrose,NEMA_combined,polynomial,6,-0.7101858567689436,-0.6466873905804481,0.03265067381189001,-19.70051123815552,32.94395498428119
24,input_air_temperature,state__S_Sucrose,NEMA_combined,polynomial,7,-0.7150141466148229,-0.6733370214539424,0.033532209561215096,-39.09425946188519,69.57551614809194
25,input_air_temperature,state__S_Sucrose,NEMA_combined,polynomial,8,-0.7232210865139485,-0.6973774929846267,0.03386125912778109,-82.24186656351458,156.1422294835962
26,input_air_temperature,state__S_Sucrose,NEMA_combined,polynomial,9,-0.7341690907201964,-0.7244069413762041,0.03318386254413576,-183.0842419357734,372.42059990107674
27,input_air_temperature,state__Ts,NEMA_combined,polynomial,1,-0.04736308319820215,-0.048730510464829006,0.0016656845895850665,-0.1433877638884468,0.050547052148051316
28,input_air_temperature,state__Ts,NEMA_combined,polynomial,2,-0.06200262990591791,-0.06249678692273869,0.00262872504212988,-0.2784269698498253,0.19916610465967072
29,input_air_temperature,state__Ts,NEMA_combined,polynomial,3,-0.09949914422330054,-0.0744034877133636,0.0031150242600024016,-0.6948838633574317,0.8390476802117004
30,input_air_temperature,state__Ts,NEMA_combined,polynomial,4,-0.1510676166301226,-0.1056068239197866,0.004557645808003348,-1.7510133375340797,2.4052415300135275
31,input_air_temperature,state__Ts,NEMA_combined,polynomial,5,-0.2123132832665016,-0.1401628710382196,0.005857910830962524,-4.638850170829431,7.632386738734911
32,input_air_temperature,state__Ts,NEMA_combined,polynomial,6,-0.28193291755446964,-0.1753829327717628,0.006922964159745992,-12.869434875025485,26.20934221387507
33,input_air_temperature,state__Ts,NEMA_combined,polynomial,7,-0.35998599305107776,-0.20973694649722902,0.007763651881051369,-37.292291101522586,92.02582796758199
