,target_id,reservoir_id,dataset_id,benchmark,delay,test_score,train_mean,train_std,cv_mean,cv_std
0,input_air_temperature,state__An,NEMA_combined,delay_line,0,-0.2945455872343518,-0.21036515630870584,0.005476907284283766,-0.8102826675810609,0.6625656920241606
1,input_air_temperature,state__An,NEMA_combined,delay_line,1,-0.33625337224612795,-0.2981655919612195,0.007131984477074882,-0.9064373676506186,0.6094860795668685
2,input_air_temperature,state__An,NEMA_combined,delay_line,2,-0.4366176115837239,-0.4114129760214055,0.008943505745315425,-1.1574389121661839,0.7073373254665005
3,input_air_temperature,state__An,NEMA_combined,delay_line,3,-0.5024032972332769,-0.4865572296162212,0.009624252157077294,-1.3731703179664738,0.9798643822739056
4,input_air_temperature,state__An,NEMA_combined,delay_line,4,-0.5436257314990852,-0.5221494133507795,0.009704180553913097,-1.538997685908283,1.2957237161782118
5,input_air_temperature,state__An,NEMA_combined,delay_line,5,-0.5608537027201004,-0.5380028538598871,0.010365826713848456,-1.693487484542597,1.6551324330810133
6,input_air_temperature,state__An,NEMA_combined,delay_line,6,-0.5688073125113834,-0.5264127904501474,0.011152821939258564,-1.752748978521072,1.9294418785754874
7,input_air_temperature,state__An,NEMA_combined,delay_line,7,-0.571600307070132,-0.5095719448084741,0.011964713411345139,-1.6224287809865103,2.053975911592724
8,input_air_temperature,state__An,NEMA_combined,delay_line,8,-0.5656376036708097,-0.4939696997456459,0.013452823805854462,-1.566596845660546,2.1518424031844297
9,input_air_temperature,state__An,NEMA_combined,delay_line,9,-0.597355182195182,-0.5024295235433767,0.014432364850534963,-1.6107541820057232,2.2437680717008037
10,input_air_temperature,state__An,NEMA_combined,delay_line,10,-0.673058030774706,-0.5419553515861929,0.016140159982978453,-1.5641975997062003,1.7174464454305258
11,input_air_temperature,state__An,NEMA_combined,delay_line,11,-0.7859480942130364,-0.6158970227487236,0.018204388983843797,-1.5365494500415506,1.2720114586502826
12,input_air_temperature,state__An,NEMA_combined,delay_line,12,-0.8912017166560379,-0.7239699088545792,0.016778696996072092,-1.5838059967467004,0.8942018584448318
13,input_air_temperature,state__Transpiration,NEMA_combined,delay_line,0,-0.3613378302962551,-0.2501295904952583,0.015485700196695575,-1.2743758928476825,1.2552698813448284
14,input_air_temperature,state__Transpiration,NEMA_combined,delay_line,1,-0.41331230351600073,-0.30915437748765684,0.016983290832965552,-1.173175507998788,1.1097132053561773
15,input_air_temperature,state__Transpiration,NEMA_combined,delay_line,2,-0.5002611087439565,-0.40788967617274585,0.01878863082551714,-1.2091534036120497,1.032927225675781
16,input_air_temperature,state__Transpiration,NEMA_combined,delay_line,3,-0.5692265105328359,-0.49407575741586013,0.021313941723342306,-1.2651291866517629,1.0480875972687695
17,input_air_temperature,state__Transpiration,NEMA_combined,delay_line,4,-0.6289856711589357,-0.5547972739580472,0.023303743032507363,-1.3793808654189,1.1852522490830204
18,input_air_temperature,state__Transpiration,NEMA_combined,delay_line,5,-0.6643474157745856,-0.5960794142996633,0.025236329945544065,-1.548139574498907,1.5068564200898509
19,input_air_temperature,state__Transpiration,NEMA_combined,delay_line,6,-0.6827804370431176,-0.6205818169508894,0.024883060190715692,-1.6895241784351338,1.9697441240880644
20,input_air_temperature,state__Transpiration,NEMA_combined,delay_line,7,-0.6419265669626526,-0.6114125049310574,0.02270670237735485,-1.8422120518396272,2.511134714329285
21,input_air_temperature,state__Transpiration,NEMA_combined,delay_line,8,-0.6315023343126688,-0.620990384609619,0.021486436002110372,-1.9869106885617736,3.0509647001787528
22,input_air_temperature,state__Transpiration,NEMA_combined,delay_line,9,-0.6462600086864161,-0.6475376847801113,0.020330225419272836,-2.159398364616029,3.304160521052687
23,input_air_temperature,state__Transpiration,NEMA_combined,delay_line,10,-0.7319173695571107,-0.7312362178023006,0.017978260007835315,-2.112597479477627,2.707144121405859
24,input_air_temperature,state__Transpiration,NEMA_combined,delay_line,11,-0.8613507447315587,-0.8077071566817009,0.01846734126325189,-1.9532514929106004,1.9932088695980412
25,input_air_temperature,state__Transpiration,NEMA_combined,delay_line,12,-0.9242422003855159,-0.8415401956111825,0.019030283908619564,-1.7889992427986752,1.3572762777108165
26,input_air_temperature,state__S_Sucrose,NEMA_combined,delay_line,0,-0.711866013358485,-0.547296815100142,0.014349503023524264,-2.1092172131810782,1.796340236191632
27,input_air_temperature,state__S_Sucrose,NEMA_combined,delay_line,1,-0.7699850735428969,-0.6612442739858495,0.012490053554957357,-2.061769876596099,1.6656042920267102
28,input_air_temperature,state__S_Sucrose,NEMA_combined,delay_line,2,-0.8453321099855552,-0.757392080919549,0.010204017881850953,-2.103815548697216,1.6751801571209617
29,input_air_temperature,state__S_Sucrose,NEMA_combined,delay_line,3,-0.8826986751602142,-0.8094961514181538,0.00847125371011092,-2.1595096936841944,1.8720611722302958
30,input_air_temperature,state__S_Sucrose,NEMA_combined,delay_line,4,-0.898532310617991,-0.8302489496990789,0.007609062224782056,-2.2767782598354684,2.335361980292813
31,input_air_temperature,state__S_Sucrose,NEMA_combined,delay_line,5,-0.959438306960866,-0.8941937749372288,0.007624275091321768,-2.3885600317104636,3.120011901525941
32,input_air_temperature,state__S_Sucrose,NEMA_combined,delay_line,6,-0.9094569958822427,-0.8568968986413145,0.00802803978393755,-2.4739501638199046,3.904438262077532
33,input_air_temperature,state__S_Sucrose,NEMA_combined,delay_line,7,-0.8539736787524035,-0.8004354952850932,0.010066108491014653,-2.5086447877443687,4.683787440630043
