,target_id,reservoir_id,dataset_id,benchmark,exponent,test_score,train_mean,train_std,cv_mean,cv_std
0,input_Tac,state_An,HydroShoot_large,polynomial,1,-0.47732131946557804,-0.5055022537265007,0.013233191940748519,-0.5665561265714285,0.058575529844565224
1,input_Tac,state_An,HydroShoot_large,polynomial,2,-0.4600086997742487,-0.4875214002708027,0.013007349666690272,-0.5512257836262224,0.06105221595481837
2,input_Tac,state_An,HydroShoot_large,polynomial,3,-0.4507180376326953,-0.47673335326814986,0.012968476180086633,-0.5442193027044719,0.06695087805537712
3,input_Tac,state_An,HydroShoot_large,polynomial,4,-0.44852564898487934,-0.47210994624256114,0.013026913714756089,-0.5452362569131077,0.0770447439366541
4,input_Tac,state_An,HydroShoot_large,polynomial,5,-0.4525478548350835,-0.4727201162325046,0.013125253880591407,-0.5538189749681016,0.09183189148516789
5,input_Tac,state_An,HydroShoot_large,polynomial,6,-0.46221249247322516,-0.47794429495300167,0.01323022540839812,-0.569429141892955,0.11168185728355982
6,input_Tac,state_An,HydroShoot_large,polynomial,7,-0.47735386243945377,-0.4876519535566694,0.013323121513929732,-0.5915085075817972,0.13684507764841908
7,input_Tac,state_An,HydroShoot_large,polynomial,8,-0.495677017109925,-0.5003242555549332,0.01349112729929378,-0.6193648073475708,0.1668398803244056
8,input_Tac,state_An,HydroShoot_large,polynomial,9,-0.5175437728661965,-0.516213225935046,0.013730509814445221,-0.6524390772605076,0.2020067727148143
9,input_Tac,state_E,HydroShoot_large,polynomial,1,-0.3774475491600562,-0.3946744761033032,0.007752464999551716,-0.4410518859925553,0.04644900668401042
10,input_Tac,state_E,HydroShoot_large,polynomial,2,-0.3599808433750816,-0.37428856425663304,0.0071779976142370815,-0.4251581486599686,0.05339402120217303
11,input_Tac,state_E,HydroShoot_large,polynomial,3,-0.3513683769565488,-0.3635248747662244,0.007427174284946372,-0.4206603503225243,0.06506780019313152
12,input_Tac,state_E,HydroShoot_large,polynomial,4,-0.3498230321675902,-0.36053994669500594,0.008124373818499998,-0.4262157975443362,0.08067029015413711
13,input_Tac,state_E,HydroShoot_large,polynomial,5,-0.354973925905961,-0.3646365925801872,0.008925800603481483,-0.4405131830522849,0.10052705806038337
14,input_Tac,state_E,HydroShoot_large,polynomial,6,-0.3637180783877871,-0.37253990316032776,0.009659078488107958,-0.46235312338789436,0.12358200534053725
15,input_Tac,state_E,HydroShoot_large,polynomial,7,-0.37608639555973106,-0.384009593209091,0.010222588995819994,-0.4909346155288409,0.15069354880074926
16,input_Tac,state_E,HydroShoot_large,polynomial,8,-0.39369984275208153,-0.40032798742070136,0.010536129312764304,-0.5253644782946616,0.1827265889377035
17,input_Tac,state_E,HydroShoot_large,polynomial,9,-0.4116510582564107,-0.4167959836924477,0.010657656368878055,-0.5652833672717761,0.21875333118109813
18,input_Tac,state_Eabs,HydroShoot_large,polynomial,1,-0.5849062364658124,-0.5533392295906882,0.014647860729562277,-0.6178009790258728,0.07945445158354088
19,input_Tac,state_Eabs,HydroShoot_large,polynomial,2,-0.5857489505498572,-0.5508388064633707,0.017338863343783817,-0.6191372101315538,0.09788874142088809
20,input_Tac,state_Eabs,HydroShoot_large,polynomial,3,-0.5974666561325118,-0.5548822274566307,0.02058241393682917,-0.6312712217093952,0.12370893495183755
21,input_Tac,state_Eabs,HydroShoot_large,polynomial,4,-0.6157508150673371,-0.5658671762983718,0.02400638373602119,-0.6535406167594304,0.15767687190079677
22,input_Tac,state_Eabs,HydroShoot_large,polynomial,5,-0.6385888158540995,-0.5818611556677344,0.027304473320972963,-0.6849362823921653,0.20071020564266556
23,input_Tac,state_Eabs,HydroShoot_large,polynomial,6,-0.6642588604776706,-0.6012127976743002,0.030271786282594398,-0.724542643893223,0.2535144612263846
24,input_Tac,state_Eabs,HydroShoot_large,polynomial,7,-0.691367723680678,-0.6225983923641086,0.032781904947987515,-0.771584738731862,0.31655013106056357
25,input_Tac,state_Eabs,HydroShoot_large,polynomial,8,-0.7188405296471113,-0.6449977315421627,0.0347691860384516,-0.8254305401075799,0.39008139043062173
26,input_Tac,state_Eabs,HydroShoot_large,polynomial,9,-0.7458842057020063,-0.6676444557755965,0.036213966210828306,-0.8855769713686644,0.47423446229173943
27,input_Tac,state_Ei,HydroShoot_large,polynomial,1,-0.5849062364658122,-0.553339229590688,0.014647860729562255,-0.6178009790258727,0.07945445158354097
28,input_Tac,state_Ei,HydroShoot_large,polynomial,2,-0.5857489505498572,-0.5508388064633706,0.017338863343783744,-0.6191372101315537,0.09788874142088827
29,input_Tac,state_Ei,HydroShoot_large,polynomial,3,-0.5974666561325118,-0.5548822274566307,0.020582413936829184,-0.631271221709395,0.12370893495183787
30,input_Tac,state_Ei,HydroShoot_large,polynomial,4,-0.6157508150673371,-0.5658671762983717,0.024006383736021174,-0.6535406167594301,0.1576768719007969
31,input_Tac,state_Ei,HydroShoot_large,polynomial,5,-0.6385888158540998,-0.5818611556677344,0.02730447332097285,-0.684936282392165,0.20071020564266565
32,input_Tac,state_Ei,HydroShoot_large,polynomial,6,-0.6642588604776707,-0.6012127976743,0.030271786282594366,-0.724542643893223,0.253514461226385
33,input_Tac,state_Ei,HydroShoot_large,polynomial,7,-0.6913677236806779,-0.6225983923641086,0.0327819049479875,-0.7715847387318618,0.31655013106056384
34,input_Tac,state_Ei,HydroShoot_large,polynomial,8,-0.7188405296471111,-0.6449977315421627,0.03476918603845164,-0.8254305401075797,0.39008139043062207
