,target_id,reservoir_id,dataset_id,benchmark,lookahead,test_score,train_mean,train_std,cv_mean,cv_std
0,input_air_temperature,state__An,NEMA_combined,near_future_pred,0,-0.2945455872343518,-0.21036515630870584,0.005476907284283766,-0.8102826675810609,0.6625656920241606
1,input_air_temperature,state__An,NEMA_combined,near_future_pred,1,-0.3258880355375707,-0.23752288476625266,0.00616598489295237,-0.9825428895176973,0.7441865432842352
2,input_air_temperature,state__An,NEMA_combined,near_future_pred,2,-0.402558766700251,-0.329511147238031,0.008457255093691399,-1.232752053966696,0.8296200955193441
3,input_air_temperature,state__An,NEMA_combined,near_future_pred,3,-0.5012673371549987,-0.46064752313524815,0.011792501534243783,-1.567993680020424,0.9687633328541587
4,input_air_temperature,state__An,NEMA_combined,near_future_pred,4,-0.5859912510858953,-0.5937797767057056,0.013655175862833184,-1.6818187833424587,0.9410914039858301
5,input_air_temperature,state__An,NEMA_combined,near_future_pred,5,-0.7011959935722584,-0.7121050489789742,0.012466901864442943,-1.7484253097349634,0.8967466158649391
6,input_air_temperature,state__An,NEMA_combined,near_future_pred,6,-0.8087241223446714,-0.8291237377011649,0.01082810539425468,-1.7844610545705897,0.9066798115369614
7,input_air_temperature,state__Transpiration,NEMA_combined,near_future_pred,0,-0.3613378302962551,-0.2501295904952583,0.015485700196695575,-1.2743758928476825,1.2552698813448284
8,input_air_temperature,state__Transpiration,NEMA_combined,near_future_pred,1,-0.3819174374867714,-0.3059269005094432,0.013608142887460557,-1.5632020474779265,1.2827827093502393
9,input_air_temperature,state__Transpiration,NEMA_combined,near_future_pred,2,-0.4605049833494671,-0.407172620830152,0.013488092550336547,-1.79528317568377,1.3521907736977963
10,input_air_temperature,state__Transpiration,NEMA_combined,near_future_pred,3,-0.5505537518494981,-0.5789822498537622,0.017139492804197815,-2.0207946716978133,1.4139608873792566
11,input_air_temperature,state__Transpiration,NEMA_combined,near_future_pred,4,-0.6358537092896445,-0.6956196345684437,0.0172102970593025,-1.9400942724407593,1.2060813448675136
12,input_air_temperature,state__Transpiration,NEMA_combined,near_future_pred,5,-0.7219972796347132,-0.7868530737033301,0.017906929369188702,-1.9021702963369749,1.139365063766309
13,input_air_temperature,state__Transpiration,NEMA_combined,near_future_pred,6,-0.806244851346134,-0.8653555787094366,0.016251831414218383,-1.8643201371495057,1.086907765391945
14,input_air_temperature,state__S_Sucrose,NEMA_combined,near_future_pred,0,-0.711866013358485,-0.547296815100142,0.014349503023524264,-2.1092172131810782,1.796340236191632
15,input_air_temperature,state__S_Sucrose,NEMA_combined,near_future_pred,1,-0.6811679077033633,-0.5065196026070892,0.015051569168670833,-2.1937717743842393,1.882953692066167
16,input_air_temperature,state__S_Sucrose,NEMA_combined,near_future_pred,2,-0.677343705105935,-0.5007389225062401,0.014013335861693775,-2.1728296402437044,1.9557961595909021
17,input_air_temperature,state__S_Sucrose,NEMA_combined,near_future_pred,3,-0.6960764273447424,-0.5571869326128779,0.013243924861476547,-2.1758539798847005,1.8543581757680594
18,input_air_temperature,state__S_Sucrose,NEMA_combined,near_future_pred,4,-0.7321598003207882,-0.6333344787834534,0.0133073439000122,-2.0331738448095713,1.5226127050643496
19,input_air_temperature,state__S_Sucrose,NEMA_combined,near_future_pred,5,-0.7789966619340976,-0.7111500389801403,0.012794339539674618,-1.9744089231361692,1.3749902621286907
20,input_air_temperature,state__S_Sucrose,NEMA_combined,near_future_pred,6,-0.8345087743391472,-0.7775464138256527,0.012587014207582228,-1.9086766288278685,1.2368661291087544
21,input_air_temperature,state__Ts,NEMA_combined,near_future_pred,0,-0.04736308319820215,-0.048730510464829006,0.0016656845895850665,-0.1433877638884468,0.050547052148051316
22,input_air_temperature,state__Ts,NEMA_combined,near_future_pred,1,-0.1353351070870584,-0.16050746898007603,0.005864714195995823,-0.5269677111942236,0.22898733651512562
23,input_air_temperature,state__Ts,NEMA_combined,near_future_pred,2,-0.27750174885577855,-0.3133131649628006,0.01001325033328323,-0.971790682040278,0.40126901653344244
24,input_air_temperature,state__Ts,NEMA_combined,near_future_pred,3,-0.4255832235560123,-0.48565112086759055,0.013565371564948423,-1.4159646394231482,0.598908066270198
25,input_air_temperature,state__Ts,NEMA_combined,near_future_pred,4,-0.5927942492685084,-0.6506887109754226,0.014450037494667082,-1.6195441605023522,0.7393357440321612
26,input_air_temperature,state__Ts,NEMA_combined,near_future_pred,5,-0.7275043369376958,-0.7720759971782688,0.013419164530936174,-1.723075464803772,0.830974283180155
27,input_air_temperature,state__Ts,NEMA_combined,near_future_pred,6,-0.8299709014815254,-0.8595522727416924,0.011625225778599436,-1.7746394776978458,0.9094153000732611
28,input_air_temperature,state__gs,NEMA_combined,near_future_pred,0,-0.4406547546899572,-0.36116659273609686,0.013532738954203035,-1.4591294087996798,1.3576587228323684
29,input_air_temperature,state__gs,NEMA_combined,near_future_pred,1,-0.43952828339042677,-0.35550123130416605,0.01730981569291368,-1.5706795305403518,1.4239734160948816
30,input_air_temperature,state__gs,NEMA_combined,near_future_pred,2,-0.48582607531350136,-0.4104029703056673,0.02132922751347436,-1.6801593764037288,1.4546825103052679
31,input_air_temperature,state__gs,NEMA_combined,near_future_pred,3,-0.561979886305312,-0.5069045525545104,0.023951963189612673,-1.8854816651652109,1.5633048578739945
32,input_air_temperature,state__gs,NEMA_combined,near_future_pred,4,-0.6473854558134376,-0.6057459868579067,0.025517049387875874,-1.8355796284382926,1.2916961593504195
33,input_air_temperature,state__gs,NEMA_combined,near_future_pred,5,-0.746939612554883,-0.7085582038682228,0.02315100840772327,-1.761380939129074,1.153958985759676
34,input_air_temperature,state__gs,NEMA_combined,near_future_pred,6,-0.8014299015897824,-0.7754486776712659,0.022998678503936457,-1.6940851248533213,0.99669226242033
35,input_air_temperature,state__Ag,NEMA_combined,near_future_pred,0,-0.4950887619512401,-0.41009236517505315,0.010248677843944773,-1.840566571446134,1.8414614853753297
36,input_air_temperature,state__Ag,NEMA_combined,near_future_pred,1,-0.4837977557008914,-0.3818495285915342,0.010894124256490313,-1.887490593129407,1.7922629221838753
37,input_air_temperature,state__Ag,NEMA_combined,near_future_pred,2,-0.5234281689187755,-0.42174261074445046,0.011971114135982898,-1.9132932729786543,1.7199940943988046
38,input_air_temperature,state__Ag,NEMA_combined,near_future_pred,3,-0.5902052485255556,-0.5166505730205495,0.013982353707746755,-2.043299366847984,1.6347624946796548
39,input_air_temperature,state__Ag,NEMA_combined,near_future_pred,4,-0.669837168058449,-0.6188248230864912,0.015623889909856853,-1.9740742859826768,1.3257504185146705
40,input_air_temperature,state__Ag,NEMA_combined,near_future_pred,5,-0.7552662536220821,-0.7089183512708379,0.015809083438707912,-1.9610510514777766,1.2272784268362575
41,input_air_temperature,state__Ag,NEMA_combined,near_future_pred,6,-0.8342316340666833,-0.7830795383288736,0.015647725672453282,-1.9189176368094187,1.1185500631125727
42,input_air_temperature,state__Tr,NEMA_combined,near_future_pred,0,-0.24269841994311203,-0.16326883107986623,0.008297391399958184,-0.8242426532519291,0.8163570637857814
43,input_air_temperature,state__Tr,NEMA_combined,near_future_pred,1,-0.32006389115827005,-0.21978286363090124,0.00882469907935452,-1.0969141261407045,0.9484988383937993
44,input_air_temperature,state__Tr,NEMA_combined,near_future_pred,2,-0.44354410086662144,-0.31682302328291867,0.009593677165266237,-1.4335348729344868,1.232498074506078
45,input_air_temperature,state__Tr,NEMA_combined,near_future_pred,3,-0.560902086840936,-0.4456686388926743,0.01392238217552664,-1.836053318064153,1.6262365477172553
46,input_air_temperature,state__Tr,NEMA_combined,near_future_pred,4,-0.6741260858425157,-0.5586932429287353,0.01905696079101612,-1.920975581938966,1.763118256315776
47,input_air_temperature,state__Tr,NEMA_combined,near_future_pred,5,-0.7300209963628095,-0.8072709730451786,0.010418667604507706,-1.9083544554336114,1.1241016232613286
48,input_air_temperature,state__Tr,NEMA_combined,near_future_pred,6,-0.8051354130661527,-0.8785637656200048,0.012312578798567154,-1.8820640954697923,1.11445008154193
49,input_air_temperature,state__sucrose,NEMA_combined,near_future_pred,0,-0.7608894437122261,-0.6884380718212281,0.02207569386659793,-2.801646625235371,2.565659723357689
50,input_air_temperature,state__sucrose,NEMA_combined,near_future_pred,1,-0.7809157954539627,-0.6909978437516925,0.02368530575295759,-3.151907545149713,3.0748567117670014
51,input_air_temperature,state__sucrose,NEMA_combined,near_future_pred,2,-0.819087818237577,-0.7239201579838205,0.02467127456913291,-3.2444026062542726,3.2146648431736358
