,target_id,reservoir_id,dataset_id,benchmark,narma_n,test_score,train_mean,train_std,cv_mean,cv_std
0,input_Tac,state_An,HydroShoot_large,NARMA,2,-0.49239765211380326,-0.49052987554173627,0.015086287462098693,-0.538524288554256,0.05977455214003915
1,input_Tac,state_An,HydroShoot_large,NARMA,4,-0.5212564579651708,-0.5094116119941586,0.015396108472913091,-0.5583934024910138,0.06347376455113778
2,input_Tac,state_An,HydroShoot_large,NARMA,6,-0.5711774127554525,-0.5501768435143369,0.016255519246314357,-0.60723082016742,0.07176777106624747
3,input_Tac,state_An,HydroShoot_large,NARMA,8,-0.6364608323670872,-0.6048402175437211,0.016762632791488583,-0.6777039906622508,0.08021994301904344
4,input_Tac,state_An,HydroShoot_large,NARMA,10,-0.6865318309639692,-0.6435815316721398,0.01706537768792163,-0.730611799274776,0.08554122739389956
5,input_Tac,state_An,HydroShoot_large,NARMA,12,-0.7084003954074559,-0.6539837073451575,0.018370210228977564,-0.7512737237369965,0.09686943055508862
6,input_Tac,state_An,HydroShoot_large,NARMA,18,-0.7092560635876068,-0.6573819083757573,0.01583262655237342,-0.7878067518563253,0.09212353007319084
7,input_Tac,state_An,HydroShoot_large,NARMA,20,-0.7036495865172856,-0.6517104005020494,0.017265615385708085,-0.7831092535664019,0.07936101662804776
8,input_Tac,state_An,HydroShoot_large,NARMA,24,-0.6117423432215028,-0.6275400066042895,0.017585607900547265,-0.7452163625105881,0.07303886860175603
9,input_Tac,state_An,HydroShoot_large,NARMA,32,-0.6396117964269601,-0.6521824712392728,0.017107134851475927,-0.7762416300016665,0.0752822131370762
10,input_Tac,state_An,HydroShoot_large,NARMA,40,-0.7142696166631761,-0.6801709469727495,0.018037164754747023,-0.8343549199907402,0.08366503680307713
11,input_Tac,state_An,HydroShoot_large,NARMA,48,-0.6826509690479028,-0.6766511758605287,0.015168538356019235,-0.8583038184951267,0.13414169054493497
12,input_Tac,state_An,HydroShoot_large,NARMA,50,-0.6791734394311567,-0.6729576258195676,0.015166755770324955,-0.8485227257136824,0.13083157265195514
13,input_Tac,state_E,HydroShoot_large,NARMA,2,-0.35564787989089386,-0.3613511225843998,0.008269415043795064,-0.3982243895439447,0.043332518427752466
14,input_Tac,state_E,HydroShoot_large,NARMA,4,-0.37313171232733416,-0.377242021482947,0.008398929016894669,-0.4159860630156234,0.047320941592165246
15,input_Tac,state_E,HydroShoot_large,NARMA,6,-0.4095053624424235,-0.4134793784027779,0.009215335562009992,-0.457924803548141,0.05576978779915973
16,input_Tac,state_E,HydroShoot_large,NARMA,8,-0.46784082676116573,-0.4661078054844331,0.010391008451330206,-0.5215195275340692,0.06664419450060473
17,input_Tac,state_E,HydroShoot_large,NARMA,10,-0.5175346753643543,-0.5048309376052197,0.011026592168400642,-0.5712142068676375,0.07487161718405172
18,input_Tac,state_E,HydroShoot_large,NARMA,12,-0.5488821177790709,-0.5237156342865739,0.010692815616248278,-0.5990140078438871,0.08406138287171304
19,input_Tac,state_E,HydroShoot_large,NARMA,18,-0.5695196646013285,-0.5547803438316276,0.010194973767790574,-0.6526502550932701,0.07949744899266004
20,input_Tac,state_E,HydroShoot_large,NARMA,20,-0.5681682328823767,-0.553031337031147,0.01158447789751471,-0.6499557474427725,0.06620541779788473
21,input_Tac,state_E,HydroShoot_large,NARMA,24,-0.4931085130086471,-0.5203701354277109,0.011747819549231339,-0.6027474944225557,0.06307674489883036
22,input_Tac,state_E,HydroShoot_large,NARMA,32,-0.5332994777952256,-0.5456821162433683,0.012001186505626971,-0.6327981370006689,0.07303246102625943
23,input_Tac,state_E,HydroShoot_large,NARMA,40,-0.6182515109570115,-0.5916738261080806,0.012127139421683425,-0.7002637083588381,0.057707726476631804
24,input_Tac,state_E,HydroShoot_large,NARMA,48,-0.5950630040694482,-0.5694810636853702,0.015997292202882964,-0.6982279893131494,0.1171554393262381
25,input_Tac,state_E,HydroShoot_large,NARMA,50,-0.5899665920220127,-0.5644546770052573,0.016026516286701067,-0.6888293860554564,0.11441105464297496
26,input_Tac,state_Eabs,HydroShoot_large,NARMA,2,-0.6177839952976227,-0.5643506546625947,0.012100417519228118,-0.6208262737062504,0.06371872166894625
27,input_Tac,state_Eabs,HydroShoot_large,NARMA,4,-0.6492994422262897,-0.5883753298249286,0.011742011524149666,-0.6478277119623825,0.06693593663382418
28,input_Tac,state_Eabs,HydroShoot_large,NARMA,6,-0.6999448558777137,-0.6292329650620005,0.0119824102364002,-0.6951651172575117,0.0721330083534749
29,input_Tac,state_Eabs,HydroShoot_large,NARMA,8,-0.7761738240616497,-0.6860145431500424,0.012550902417437086,-0.767095762205112,0.08262966051030188
