,target_id,reservoir_id,dataset_id,benchmark,delay,test_score,train_mean,train_std,cv_mean,cv_std
0,input_Tac,state_An,HydroShoot_large,delay_line,0,-0.47732131946557804,-0.5055022537265007,0.013233191940748519,-0.5665561265714285,0.058575529844565224
1,input_Tac,state_An,HydroShoot_large,delay_line,1,-0.4867774616171861,-0.4937578534930651,0.014608009712153923,-0.5424226263678851,0.05742253962094596
2,input_Tac,state_An,HydroShoot_large,delay_line,2,-0.5545392745928248,-0.5347143111093977,0.01447918891912777,-0.576815152432494,0.05628169914687382
3,input_Tac,state_An,HydroShoot_large,delay_line,3,-0.6296389506832832,-0.5942408875503467,0.012921743064880154,-0.6345985683461086,0.052550419558787725
4,input_Tac,state_An,HydroShoot_large,delay_line,4,-0.7032712861384869,-0.6608528334531487,0.013733100207525932,-0.7036805326953832,0.06069036939330255
5,input_Tac,state_An,HydroShoot_large,delay_line,5,-0.7639411474969204,-0.7146216384766777,0.01375977155841111,-0.7643210286189562,0.06333854344645143
6,input_Tac,state_An,HydroShoot_large,delay_line,6,-0.8192232460282629,-0.7606951821563339,0.012779660169326114,-0.8189936102037768,0.05920317607378304
7,input_Tac,state_An,HydroShoot_large,delay_line,7,-0.8520326313794637,-0.7975500970953517,0.00995245444675542,-0.8638039802235694,0.04862834859235867
8,input_Tac,state_An,HydroShoot_large,delay_line,8,-0.8559783187212966,-0.8039580570495234,0.007761003498296828,-0.8769370175233455,0.04438255080599021
9,input_Tac,state_An,HydroShoot_large,delay_line,9,-0.8124215677393389,-0.7785639393470268,0.009796813401100123,-0.8571863529854747,0.072769184529901
10,input_Tac,state_An,HydroShoot_large,delay_line,10,-0.7459298663176382,-0.7243731290275772,0.0160069358974873,-0.8106809192848893,0.12566193853920804
11,input_Tac,state_An,HydroShoot_large,delay_line,11,-0.6837685934819993,-0.6726768970351227,0.016418179230966726,-0.758521853753283,0.13739315769740895
12,input_Tac,state_An,HydroShoot_large,delay_line,12,-0.6723609159299525,-0.6539873411488368,0.012378186949270715,-0.73445259779564,0.11522579661405676
13,input_Tac,state_E,HydroShoot_large,delay_line,0,-0.3774475491600562,-0.3946744761033032,0.007752464999551716,-0.4410518859925553,0.04644900668401042
14,input_Tac,state_E,HydroShoot_large,delay_line,1,-0.3587944112600505,-0.36869598015058297,0.00870241206156973,-0.4046807390418682,0.04215972087887472
15,input_Tac,state_E,HydroShoot_large,delay_line,2,-0.41313330145815563,-0.41059112598048253,0.00944222864536036,-0.4434453632751847,0.041991148698004174
16,input_Tac,state_E,HydroShoot_large,delay_line,3,-0.47763333062545155,-0.4734368462860853,0.009107643609288915,-0.5063465839021523,0.041078673217499674
17,input_Tac,state_E,HydroShoot_large,delay_line,4,-0.5410647921167074,-0.5413078998716074,0.008999623905990323,-0.576304158251937,0.0432677226478541
18,input_Tac,state_E,HydroShoot_large,delay_line,5,-0.5950681091466304,-0.5985255980769719,0.011381738094251978,-0.6386219609127546,0.05305625977847604
19,input_Tac,state_E,HydroShoot_large,delay_line,6,-0.652063065309018,-0.6479300590958325,0.01279526696571525,-0.6950868918494392,0.05721708234006653
20,input_Tac,state_E,HydroShoot_large,delay_line,7,-0.7113271845643417,-0.6973131216263632,0.01357252408070884,-0.7509392554025174,0.05738394533932106
21,input_Tac,state_E,HydroShoot_large,delay_line,8,-0.7648874412947565,-0.7319084286037492,0.013282178271770716,-0.7916045352571449,0.0603677812454856
22,input_Tac,state_E,HydroShoot_large,delay_line,9,-0.7848853876253153,-0.7440645447428726,0.013630313309018491,-0.8110232284331793,0.08294405708165645
23,input_Tac,state_E,HydroShoot_large,delay_line,10,-0.7691511436943557,-0.7278394076720661,0.01847554519793476,-0.807680229791283,0.13234844611961832
24,input_Tac,state_E,HydroShoot_large,delay_line,11,-0.7244979144676954,-0.6949830682830159,0.021890363810234303,-0.7809765089394834,0.15729586234967724
25,input_Tac,state_E,HydroShoot_large,delay_line,12,-0.6989633337417334,-0.6802834709385592,0.019953971134069576,-0.7611342569045423,0.13572684964744527
26,input_Tac,state_Eabs,HydroShoot_large,delay_line,0,-0.5849062364658124,-0.5533392295906882,0.014647860729562277,-0.6178009790258728,0.07945445158354088
27,input_Tac,state_Eabs,HydroShoot_large,delay_line,1,-0.5997403167936124,-0.554092548013062,0.011658241385362643,-0.6092557333911707,0.05800253121555582
28,input_Tac,state_Eabs,HydroShoot_large,delay_line,2,-0.659393387846483,-0.6035294506704802,0.00811410008426623,-0.6533539286776597,0.04390682065243732
29,input_Tac,state_Eabs,HydroShoot_large,delay_line,3,-0.7092022027878692,-0.6552398176965709,0.005692866732147615,-0.703170047571706,0.036669851716038045
30,input_Tac,state_Eabs,HydroShoot_large,delay_line,4,-0.7467401543774987,-0.6943644427343649,0.007379812991436876,-0.7427050641987871,0.04367080432142583
31,input_Tac,state_Eabs,HydroShoot_large,delay_line,5,-0.7705891356438829,-0.7174246916041442,0.010154848120345448,-0.7700198146952124,0.054271091908193014
32,input_Tac,state_Eabs,HydroShoot_large,delay_line,6,-0.781159467254141,-0.7303448836174351,0.01201393614799551,-0.7879908277931403,0.06333578948585074
33,input_Tac,state_Eabs,HydroShoot_large,delay_line,7,-0.7909313725473116,-0.7394361234141873,0.013238731211866498,-0.8009987606237869,0.0712691536906386
34,input_Tac,state_Eabs,HydroShoot_large,delay_line,8,-0.8019251857392071,-0.7430586698316072,0.013958018075379592,-0.8096543571246695,0.08336920874980319
