,target_id,reservoir_id,dataset_id,test_score,train_mean,train_std,cv_mean,cv_std
0,input_Tac,state_An,HydroShoot_large,-0.47732131946557804,-0.5055022537265007,0.013233191940748519,-0.5665561265714285,0.058575529844565224
1,input_Tac,state_Tlc,HydroShoot_large,-0.23453734095582174,-0.21332992290407066,0.006118522461139866,-0.23226669434245534,0.03667352413998574
2,input_Tac,state_Flux,HydroShoot_large,-0.37698452991589676,-0.393970735686713,0.007755838588332048,-0.4421624896220414,0.044878459085039825
3,input_Tac,state_gs,HydroShoot_large,-0.4641486218192884,-0.5023547228019618,0.015988097168598444,-0.5698935001427503,0.05986418662685709
4,input_Tac,state_psi_head,HydroShoot_large,-0.38225186481893775,-0.3712497882945148,0.004901305169673473,-0.4152147177442272,0.035951035742858406
5,input_Tac,state_E,HydroShoot_large,-0.3774475491600562,-0.3946744761033032,0.007752464999551716,-0.4410518859925553,0.04644900668401042
6,input_u,state_An,HydroShoot_large,-0.689449238887491,-0.6195844389821354,0.012640520789251595,-0.6507094587576983,0.06340163154121116
7,input_u,state_Tlc,HydroShoot_large,-0.6492817181271686,-0.6072714913915467,0.010591113127256288,-0.6407443593312855,0.048305956934081795
8,input_u,state_Flux,HydroShoot_large,-0.6675046896277083,-0.6188964380108077,0.011410762736839695,-0.655506543572646,0.05832431664323523
9,input_u,state_gs,HydroShoot_large,-0.698439977998479,-0.6224749747241077,0.013719100587677186,-0.6563031725372623,0.06656124203367635
10,input_u,state_psi_head,HydroShoot_large,-0.6733496516123544,-0.589958157772412,0.012442214607039537,-0.6315521034582176,0.0637020729591608
11,input_u,state_E,HydroShoot_large,-0.6675935955657806,-0.6217433730534225,0.011540690022710375,-0.6493961427047881,0.049215534303709035
12,input_hs,state_An,HydroShoot_large,-0.7987763002696395,-0.632091056067887,0.01370726946902823,-0.6808792598749018,0.058333914023090266
13,input_hs,state_Tlc,HydroShoot_large,-0.7147271250724534,-0.58282641477487,0.011619088249909286,-0.6165225064839767,0.04123291818979817
14,input_hs,state_Flux,HydroShoot_large,-0.6329221247869414,-0.49187700657607075,0.012551835238481135,-0.5222770994733875,0.052437389275204666
15,input_hs,state_gs,HydroShoot_large,-0.7575394660727689,-0.6066423722683265,0.012697997795368602,-0.6606428186464937,0.057621944375134855
16,input_hs,state_psi_head,HydroShoot_large,-0.5783054673165561,-0.44707275318710343,0.012194180515764203,-0.4755886072930089,0.05482047466836605
17,input_hs,state_E,HydroShoot_large,-0.6281956307020901,-0.4927431317704564,0.01252364053053259,-0.5210072178227833,0.052393621902907306
18,input_Rg,state_An,HydroShoot_large,-0.44899870517050666,-0.4164953028088137,0.004604661425605543,-0.427074629520408,0.019025185242786933
19,input_Rg,state_Tlc,HydroShoot_large,-0.3271361329532258,-0.31366646738832227,0.00418092662327097,-0.3250672293881553,0.018058744627555513
20,input_Rg,state_Flux,HydroShoot_large,-0.406138179647536,-0.3621301921574811,0.008380801034771434,-0.37391556528402414,0.03736070187293967
21,input_Rg,state_gs,HydroShoot_large,-0.4865895965382576,-0.4680986647870422,0.0037802431659478093,-0.4829147004284051,0.016764933933021517
22,input_Rg,state_psi_head,HydroShoot_large,-0.34381837393695164,-0.3092067974009363,0.005782541171749784,-0.3224531674064816,0.026526469617724445
23,input_Rg,state_E,HydroShoot_large,-0.406371217375622,-0.3626219039105079,0.00836870531646368,-0.3733953094936041,0.03647739393680537
24,output_Rg,state_An,HydroShoot_large,-0.502493846901493,-0.473496502272514,0.005856806617671407,-0.4839964124294397,0.02452305876071867
25,output_Rg,state_Tlc,HydroShoot_large,-0.39778220723764135,-0.3866510971866463,0.004352568957499355,-0.4003595181577192,0.02105770881915749
26,output_Rg,state_Flux,HydroShoot_large,-0.46237810166265,-0.4304256480962816,0.008931869275930095,-0.4405601134680367,0.04059823070069421
27,output_Rg,state_gs,HydroShoot_large,-0.5377922487365563,-0.5225763409811212,0.0046131617435908765,-0.5383110563471503,0.021068163093634136
28,output_Rg,state_psi_head,HydroShoot_large,-0.39637437801427655,-0.3718821157523159,0.005961226743122018,-0.3833095744789029,0.028763975907629715
29,output_Rg,state_E,HydroShoot_large,-0.4624474445050597,-0.4307535126743908,0.008919235002695574,-0.4402568620489095,0.03981712124264938
30,output_An,state_An,HydroShoot_large,-0.549186766689349,-0.5169154417455043,0.006660853697836292,-0.5233587010555977,0.02829705402132172
31,output_An,state_Tlc,HydroShoot_large,-0.5964392361639274,-0.5681094536951634,0.008856999132979586,-0.5875669968280217,0.03858401504073082
32,output_An,state_Flux,HydroShoot_large,-0.6412734474968351,-0.6005431464484707,0.008479497512045612,-0.6124063033330068,0.03538315804249225
33,output_An,state_gs,HydroShoot_large,-0.5563779122066321,-0.5302720407709425,0.005802441744994377,-0.5380447330091052,0.02519542860008857
34,output_An,state_psi_head,HydroShoot_large,-0.564725883470238,-0.5405298308375236,0.005910227249477878,-0.5494468067685785,0.02496537682740558
35,output_An,state_E,HydroShoot_large,-0.6401909936766179,-0.6008209846469159,0.008488732236068327,-0.6122993110170775,0.03569087145039573
36,output_E,state_An,HydroShoot_large,-0.4033868238657883,-0.39714775600968893,0.006726239996816041,-0.4099292808584553,0.03012241968966028
37,output_E,state_Tlc,HydroShoot_large,-0.42894455424383704,-0.39328707161712906,0.007766584279677536,-0.4071858439037065,0.03818924161169569
38,output_E,state_Flux,HydroShoot_large,-0.3709352071055307,-0.34454013248319865,0.006699983936329347,-0.3527311362507959,0.033194994890732875
