,target_id,reservoir_id,dataset_id,test_score,train_mean,train_std,cv_mean,cv_std
0,input_Tac,state_An,HydroShoot_large,-0.47732131946557804,-0.5055022537265007,0.013233191940748519,-0.5665561265714285,0.058575529844565224
1,input_Tac,state_E,HydroShoot_large,-0.3774475491600562,-0.3946744761033032,0.007752464999551716,-0.4410518859925553,0.04644900668401042
2,input_Tac,state_Eabs,HydroShoot_large,-0.5849062364658124,-0.5533392295906882,0.014647860729562277,-0.6178009790258728,0.07945445158354088
3,input_Tac,state_Ei,HydroShoot_large,-0.5849062364658122,-0.553339229590688,0.014647860729562255,-0.6178009790258727,0.07945445158354097
4,input_Tac,state_Flux,HydroShoot_large,-0.37698452991589676,-0.393970735686713,0.007755838588332048,-0.4421624896220414,0.044878459085039825
5,input_Tac,state_FluxC,HydroShoot_large,-0.47676778359312544,-0.5063503891456339,0.013042355608309299,-0.5656068678430908,0.05790835725212203
6,input_Tac,state_Tlc,HydroShoot_large,-0.23453734095582174,-0.21332992290407066,0.006118522461139866,-0.23226669434245534,0.03667352413998574
7,input_Tac,state_gb,HydroShoot_large,-0.9658518602334571,-0.8271116408332473,0.01597798614372541,-0.9520565460819947,0.109819622741388
8,input_Tac,state_gs,HydroShoot_large,-0.4641486218192884,-0.5023547228019618,0.015988097168598444,-0.5698935001427503,0.05986418662685709
9,input_Tac,state_psi_head,HydroShoot_large,-0.38225186481893775,-0.3712497882945148,0.004901305169673473,-0.4152147177442272,0.035951035742858406
10,input_Tac,state_u,HydroShoot_large,-0.9410715938787645,-0.9532840074342437,0.0068237101681037195,-1.0236734304920905,0.08005524678912647
11,input_u,state_An,HydroShoot_large,-0.689449238887491,-0.6195844389821354,0.012640520789251595,-0.6507094587576983,0.06340163154121116
12,input_u,state_E,HydroShoot_large,-0.6675935955657806,-0.6217433730534225,0.011540690022710375,-0.6493961427047881,0.049215534303709035
13,input_u,state_Eabs,HydroShoot_large,-0.675201904455452,-0.5971164333797803,0.01381014266220789,-0.6279939714994214,0.06320926998085133
14,input_u,state_Ei,HydroShoot_large,-0.6752019044554521,-0.5971164333797802,0.01381014266220797,-0.6279939714994216,0.06320926998085157
15,input_u,state_Flux,HydroShoot_large,-0.6675046896277083,-0.6188964380108077,0.011410762736839695,-0.655506543572646,0.05832431664323523
16,input_u,state_FluxC,HydroShoot_large,-0.6879338635985732,-0.6219410344090708,0.012068720457672006,-0.6475651772159893,0.06208917071544969
17,input_u,state_Tlc,HydroShoot_large,-0.6492817181271686,-0.6072714913915467,0.010591113127256288,-0.6407443593312855,0.048305956934081795
18,input_u,state_gb,HydroShoot_large,-0.30062224042776464,-0.322264802609754,0.0015329303508770582,-0.3237874184761961,0.0059579343244754645
19,input_u,state_gs,HydroShoot_large,-0.698439977998479,-0.6224749747241077,0.013719100587677186,-0.6563031725372623,0.06656124203367635
20,input_u,state_psi_head,HydroShoot_large,-0.6733496516123544,-0.589958157772412,0.012442214607039537,-0.6315521034582176,0.0637020729591608
21,input_u,state_u,HydroShoot_large,-0.28049465065776835,-0.29659521623454566,0.003619583293670764,-0.2989407846807228,0.013996721935533956
22,input_hs,state_An,HydroShoot_large,-0.7987763002696395,-0.632091056067887,0.01370726946902823,-0.6808792598749018,0.058333914023090266
23,input_hs,state_E,HydroShoot_large,-0.6281956307020901,-0.4927431317704564,0.01252364053053259,-0.5210072178227833,0.052393621902907306
24,input_hs,state_Eabs,HydroShoot_large,-0.8265078576857302,-0.6192295627496884,0.016611575490913393,-0.6570854680866443,0.08569141644626307
25,input_hs,state_Ei,HydroShoot_large,-0.82650785768573,-0.6192295627496883,0.016611575490913365,-0.6570854680866443,0.08569141644626323
26,input_hs,state_Flux,HydroShoot_large,-0.6329221247869414,-0.49187700657607075,0.012551835238481135,-0.5222770994733875,0.052437389275204666
27,input_hs,state_FluxC,HydroShoot_large,-0.80373093116284,-0.6308409700063458,0.014287623611362614,-0.6797272270682806,0.06836704232006853
28,input_hs,state_Tlc,HydroShoot_large,-0.7147271250724534,-0.58282641477487,0.011619088249909286,-0.6165225064839767,0.04123291818979817
29,input_hs,state_gb,HydroShoot_large,-0.9989836085713845,-0.8239903601582258,0.020911379843780525,-0.9062357240995915,0.05639294905353522
30,input_hs,state_gs,HydroShoot_large,-0.7575394660727689,-0.6066423722683265,0.012697997795368602,-0.6606428186464937,0.057621944375134855
31,input_hs,state_psi_head,HydroShoot_large,-0.5783054673165561,-0.44707275318710343,0.012194180515764203,-0.4755886072930089,0.05482047466836605
32,input_hs,state_u,HydroShoot_large,-1.0611136239975782,-0.9537587170360237,0.00898979493355967,-0.9819733357874381,0.05387597570660738
33,input_Rg,state_An,HydroShoot_large,-0.44899870517050666,-0.4164953028088137,0.004604661425605543,-0.427074629520408,0.019025185242786933
34,input_Rg,state_E,HydroShoot_large,-0.406371217375622,-0.3626219039105079,0.00836870531646368,-0.3733953094936041,0.03647739393680537
35,input_Rg,state_Eabs,HydroShoot_large,-0.3052809230300812,-0.30070832759664773,0.0029019419838662653,-0.30663583919325527,0.013220165673482685
36,input_Rg,state_Ei,HydroShoot_large,-0.30528092303008114,-0.30070832759664773,0.0029019419838662644,-0.30663583919325527,0.01322016567348271
37,input_Rg,state_Flux,HydroShoot_large,-0.406138179647536,-0.3621301921574811,0.008380801034771434,-0.37391556528402414,0.03736070187293967
38,input_Rg,state_FluxC,HydroShoot_large,-0.44933731462352866,-0.41619871287199633,0.004627833557621493,-0.4279094538086765,0.01913992603437961
