,target_id,reservoir_id,dataset_id,benchmark,narma_n,test_score,train_mean,train_std,cv_mean,cv_std
12,input_air_temperature,state__S_Sucrose,NEMA_combined,NARMA,2,-0.7844495565258409,-0.6839377335855128,0.012049437061615119,-2.4087999112104344,2.310885863194009
13,input_air_temperature,state__S_Sucrose,NEMA_combined,NARMA,5,-0.8331135793551291,-0.7439346359642577,0.010673990895466322,-3.2295754844738136,3.8856550460834236
14,input_air_temperature,state__S_Sucrose,NEMA_combined,NARMA,10,-0.9262166966339853,-0.8300872775866596,0.009904178912478528,-5.646247524296712,9.475519913136463
15,input_air_temperature,state__S_Sucrose,NEMA_combined,NARMA,20,-0.9308487468081752,-0.7456453403310024,0.011547758253383738,-11.373733935405923,26.573558697154173
16,input_air_temperature,state__S_Sucrose,NEMA_combined,NARMA,50,-0.9819847199330943,-0.6973739293146857,0.01273333057954368,-4.1976087303877865,6.170945207324982
17,input_air_temperature,state__S_Sucrose,NEMA_combined,NARMA,100,-0.9254998655739952,-0.7209800758275635,0.015037280693872586,-3.07864218536558,3.888849473471006
18,input_air_temperature,state__Ts,NEMA_combined,NARMA,2,-0.05124621880538739,-0.06169244961654448,0.003262101080076385,-0.21012923131068892,0.2278969482870341
19,input_air_temperature,state__Ts,NEMA_combined,NARMA,5,-0.09024600530107096,-0.1007545227413226,0.005800250862373706,-0.4125710518983722,0.545770435997204
20,input_air_temperature,state__Ts,NEMA_combined,NARMA,10,-0.12172795090275852,-0.134025687805059,0.008060981553140037,-0.7843414965749231,0.9297540829537349
21,input_air_temperature,state__Ts,NEMA_combined,NARMA,20,-0.21676277599039612,-0.16573406629150053,0.009197177671367173,-1.9233113475157328,2.0807581349362003
22,input_air_temperature,state__Ts,NEMA_combined,NARMA,50,-0.28392074923032945,-0.14032461470309834,0.008163860670932933,-0.9123607129230165,1.0021748348344148
23,input_air_temperature,state__Ts,NEMA_combined,NARMA,100,-0.24105344564872447,-0.11672687844819274,0.005916216113408836,-0.6621583243740584,0.6541966659282855
24,input_air_temperature,state__gs,NEMA_combined,NARMA,2,-0.5118709557015093,-0.4619410031364529,0.008138914960158127,-1.6382220587788647,1.441337554230602
25,input_air_temperature,state__gs,NEMA_combined,NARMA,5,-0.5631582072676858,-0.5025857306922663,0.00803628272736463,-2.2144762565548004,2.4290195953107734
26,input_air_temperature,state__gs,NEMA_combined,NARMA,10,-0.6298223576552983,-0.5433254074739429,0.008637329429281988,-4.072225805946372,5.849620762662222
27,input_air_temperature,state__gs,NEMA_combined,NARMA,20,-0.6188187889905431,-0.4735170095983655,0.015328489749725274,-6.285383906268563,13.38260173336373
28,input_air_temperature,state__gs,NEMA_combined,NARMA,50,-0.6191118711741429,-0.4099247567986538,0.009445917817120059,-2.4120963327319225,3.0030482602786712
29,input_air_temperature,state__gs,NEMA_combined,NARMA,100,-0.5723730932363196,-0.4373588794846094,0.008837584304612046,-1.8732141568663387,1.9426783159202814
30,input_air_temperature,state__Ag,NEMA_combined,NARMA,2,-0.5704563667736441,-0.5268488147141862,0.008264741026309367,-2.087146536920925,2.349276542491328
31,input_air_temperature,state__Ag,NEMA_combined,NARMA,5,-0.6260224845994722,-0.5745023661858296,0.00789022558842309,-2.8444141368531346,4.03154420363104
32,input_air_temperature,state__Ag,NEMA_combined,NARMA,10,-0.6951928207280256,-0.6160897073727631,0.008248484191014548,-5.084326672181055,9.570519861665524
33,input_air_temperature,state__Ag,NEMA_combined,NARMA,20,-0.688129646948845,-0.544484231190608,0.01146215856347073,-9.646104342143085,26.405949068338476
34,input_air_temperature,state__Ag,NEMA_combined,NARMA,50,-0.6635090233338914,-0.4887670328308434,0.0077515430571541396,-3.5106416246731262,6.240007570288437
35,input_air_temperature,state__Ag,NEMA_combined,NARMA,100,-0.6221283388224467,-0.4806905764286465,0.011101344977738773,-2.4418063724774877,4.00116037099211
36,input_air_temperature,state__Tr,NEMA_combined,NARMA,2,-0.2236296985894344,-0.19945734338694932,0.008214465448450883,-0.8675789612634631,0.8063255390192798
37,input_air_temperature,state__Tr,NEMA_combined,NARMA,5,-0.24985534242212767,-0.22860931741617857,0.010052149488287709,-1.154925399800959,1.2295936824884335
38,input_air_temperature,state__Tr,NEMA_combined,NARMA,10,-0.29921860742725204,-0.26616178579999755,0.011008786626629732,-2.2706872209564533,3.6464295295247
39,input_air_temperature,state__Tr,NEMA_combined,NARMA,20,-0.4091715497603221,-0.26382209613170726,0.011807382813796176,-5.5429045449997885,12.880309182186213
40,input_air_temperature,state__Tr,NEMA_combined,NARMA,50,-0.405563078829204,-0.25038869046980256,0.011452543311050941,-1.9867015684044382,2.7656545951359477
41,input_air_temperature,state__Tr,NEMA_combined,NARMA,100,-0.3878550524785166,-0.25609333183233324,0.009743749871558818,-1.5587359567745303,1.9869239223833774
42,input_air_temperature,state__sucrose,NEMA_combined,NARMA,2,-0.781490395907909,-0.7157954183427171,0.0195864685862177,-2.822701698184814,2.751495815440518
43,input_air_temperature,state__sucrose,NEMA_combined,NARMA,5,-0.8565042475831499,-0.7866066523910062,0.017409608361239958,-3.637277784844636,4.059646476792928
44,input_air_temperature,state__sucrose,NEMA_combined,NARMA,10,-0.948731835674225,-0.8869295837009641,0.014468531269077356,-6.139153835137796,9.476329630940725
45,input_air_temperature,state__sucrose,NEMA_combined,NARMA,20,-1.0422568299985033,-0.6107993938776012,0.02756429510867526,-8.235908618514255,11.88730251571145
46,input_air_temperature,state__sucrose,NEMA_combined,NARMA,50,-0.8918288370856927,-0.535776236721065,0.019597359356853656,-3.7685566823036445,4.107039635732466
47,input_air_temperature,state__sucrose,NEMA_combined,NARMA,100,-0.8568676929713941,-0.4922035125515478,0.021686673546384757,-2.3424803262620273,2.112017634684081
48,input_air_temperature,state__Rd,NEMA_combined,NARMA,2,-0.05460781337718621,-0.060768343993152105,0.0031254398301065324,-0.2619906642147273,0.2974273439875028
49,input_air_temperature,state__Rd,NEMA_combined,NARMA,5,-0.08073585347220684,-0.07912820873177318,0.004518138345136179,-0.4325360441479993,0.6973517413357223
50,input_air_temperature,state__Rd,NEMA_combined,NARMA,10,-0.09365273889712684,-0.08763603174958527,0.00546379410293146,-0.7427497231933573,1.159589067419624
51,input_air_temperature,state__Rd,NEMA_combined,NARMA,20,-0.15678353127327566,-0.1245944370207627,0.008058053544007932,-1.596871093117603,2.0022980234585335
52,input_air_temperature,state__Rd,NEMA_combined,NARMA,50,-0.20448743055718277,-0.11630015335181712,0.007384640129436348,-0.9760884252346044,1.4527983958495883
53,input_air_temperature,state__Rd,NEMA_combined,NARMA,100,-0.12929498935102396,-0.1034438869177674,0.00697030542227654,-0.7460948933252302,0.9963159319606334
54,input_air_temperature,state__sum_respi,NEMA_combined,NARMA,2,-0.1129982290139988,-0.14814650065817675,0.006209207226598711,-0.6321099907444376,0.5371227671691465
55,input_air_temperature,state__sum_respi,NEMA_combined,NARMA,5,-0.15793086253212804,-0.19591362749552318,0.006765179417020187,-0.9530961481398268,1.1113587672289325
56,input_air_temperature,state__sum_respi,NEMA_combined,NARMA,10,-0.24148660592666232,-0.2553608777228282,0.008261236213107918,-1.6762761359027887,2.0327139724069916
57,input_air_temperature,state__sum_respi,NEMA_combined,NARMA,20,-0.343551074755172,-0.24414368963028715,0.0073103405571129905,-2.7749043243606506,2.134454727337737
58,input_air_temperature,state__sum_respi,NEMA_combined,NARMA,50,-0.36029625791539194,-0.18916432558078328,0.00767973134850484,-1.3047160411656864,1.0853172568021296
59,input_air_temperature,state__sum_respi,NEMA_combined,NARMA,100,-0.21198910305159285,-0.16766532082675512,0.006657366128082716,-0.87152833355354,0.6342460507072581
60,input_air_temperature,state__Photosynthesis,NEMA_combined,NARMA,2,-0.7044910517929387,-0.5685604129066713,0.015380947954999785,-2.2685650842249294,3.129288105513599
61,input_air_temperature,state__Photosynthesis,NEMA_combined,NARMA,5,-0.7604956687883695,-0.6354779901842269,0.014927474228457742,-2.8470719481071245,3.8441297141898807
62,input_air_temperature,state__Photosynthesis,NEMA_combined,NARMA,10,-0.8205861894389311,-0.6706070313498198,0.014276347514806501,-5.450842338173872,9.488574951341512
63,input_air_temperature,state__Photosynthesis,NEMA_combined,NARMA,20,-0.7632607434671758,-0.5445909989335185,0.01596541189061098,-8.196625976391516,17.59973889946415
64,input_air_temperature,state__Photosynthesis,NEMA_combined,NARMA,50,-0.7760453838178487,-0.478534743712227,0.014395366619699403,-3.0256766045929004,4.140159428303177
65,input_air_temperature,state__Photosynthesis,NEMA_combined,NARMA,100,-0.7705392945793874,-0.5085688059185755,0.012939800458046373,-2.1806930110781546,2.5552703569869
66,input_air_temperature,state__PARa,NEMA_combined,NARMA,2,-0.8327144223095764,-0.841247960072628,0.010391861238713608,-2.6774789919705086,2.3435465250758374
67,input_air_temperature,state__PARa,NEMA_combined,NARMA,5,-0.9136284774254901,-0.923048466212174,0.007357131126917102,-3.5334211082335303,3.9953744435596743
68,input_air_temperature,state__PARa,NEMA_combined,NARMA,10,-0.9769599609919754,-0.9741566109939228,0.00463451427774857,-5.8349857199985395,9.624147005799312
