time,Rg,An,E,Tleaf
2012-08-01 00:00:00,0.0,-2.349138311734814,5.6612098948429776e-11,16.85533877258922
2012-08-01 01:00:00,0.0,-2.573003039985758,6.689148019847787e-11,18.059208577974744
2012-08-01 02:00:00,0.0,-2.7109895537937403,7.501050688695159e-11,18.693035545185523
2012-08-01 03:00:00,0.0,-2.6494779906930845,6.150599514596903e-11,18.321610372869145
2012-08-01 04:00:00,0.0,-2.4605742156386428,4.332789068171082e-11,17.26364401083299
2012-08-01 05:00:00,2.746568316112914,-1.4684405460576953,6.502457710956986,17.122447759736644
2012-08-01 06:00:00,55.2400887819012,13.694432656245878,176.63193645736433,19.08434655264375
2012-08-01 07:00:00,191.3234437271743,31.12781549690253,398.2744744368134,21.847054346547907
2012-08-01 08:00:00,177.70878566412284,30.427066009315524,372.4806004279367,23.762006884840787
2012-08-01 09:00:00,384.8321205703634,36.86366246249033,447.61586893316223,25.611969694106108
2012-08-01 10:00:00,471.7884270853541,32.72335985805455,422.7005822384078,27.897826601801967
2012-08-01 11:00:00,506.42785356707134,31.13501709348069,394.7315210702309,27.40967915272381
2012-08-01 12:00:00,492.0118165235575,31.19091998088969,336.19073937183697,27.19803759025683
2012-08-01 13:00:00,523.7344401210756,26.599805815101057,314.5178825438701,28.26977204946337
2012-08-01 14:00:00,498.519473781533,24.39812293700272,266.0865562744738,29.496171981691475
2012-08-01 15:00:00,453.6630163586838,23.063119150647147,240.4589548328481,29.68826035306506
2012-08-01 16:00:00,373.5547602033857,25.1995248736212,197.1561489968448,27.235597670276437
2012-08-01 17:00:00,265.73295391911813,25.31842362332153,160.982339538809,25.581022233223905
2012-08-01 18:00:00,132.38284257638298,21.34263521151897,107.18246288773788,24.077347938801665
2012-08-01 19:00:00,28.72650584846131,4.868246345935136,35.93231283245057,22.432005025739613
2012-08-01 20:00:00,0.0,-3.396953606163037,7.035201712399819e-12,22.180719325036364
2012-08-01 21:00:00,0.0,-3.2737456665805054,6.4263698578323734e-12,21.64473883511204
2012-08-01 22:00:00,0.0,-3.0810736534629344,5.1443170773989364e-12,20.80824774339976
2012-08-01 23:00:00,0.0,-3.050136756912024,2.278764080608524e-12,20.66354357457294
2012-08-02 00:00:00,0.0,-2.822281680352381,1.3094606640065771e-11,19.574592418952022
2012-08-02 01:00:00,0.0,-2.708507788106908,1.967599863494046e-11,18.8797661391435
2012-08-02 02:00:00,0.0,-2.609337644745567,1.1039988977705318e-11,18.27473751759004
2012-08-02 03:00:00,0.0,-2.667501344388961,1.37071886834517e-11,18.53494057351412
2012-08-02 04:00:00,0.0,-2.6196665221358355,1.6304612227483148e-11,18.19370013735238
2012-08-02 05:00:00,3.3661626351270746,-1.4242027173558127,2.723452101278593,18.052113694992784
2012-08-02 06:00:00,63.122632227884246,15.691134645631491,55.34588384129228,19.04042242005136
2012-08-02 07:00:00,197.6146544908333,30.710415770427417,274.4073692464945,22.446939875241128
2012-08-02 08:00:00,381.468077509657,27.154756168021954,373.4257792818224,27.623705366151057
2012-08-02 09:00:00,450.7078680462252,23.58613915664929,322.57736742750654,29.187724527892957
2012-08-02 10:00:00,472.7546113606724,18.942796706185614,281.8781100198809,30.735587738586503
2012-08-02 11:00:00,501.245001347132,15.698073771364337,249.77991147113087,31.743294004161385
2012-08-02 12:00:00,517.5181498341212,14.860201328997968,217.18429789953203,31.83800494796236
2012-08-02 13:00:00,504.8645159643431,13.206639625374262,191.42268946854765,32.25812337401334
2012-08-02 14:00:00,493.5010999190292,13.830682959508843,176.75855424810035,31.50883803338519
2012-08-02 15:00:00,453.9678023156098,13.65213399249405,163.46107064382184,31.000089052671
2012-08-02 16:00:00,375.8342798265599,16.077754269481503,195.22931766275337,29.90190932161317
2012-08-02 17:00:00,262.8144654542217,15.857432367408745,158.7118382279796,29.056320859905327
2012-08-02 18:00:00,133.28354621434875,12.434418353715753,108.424190849153,27.656741315694944
2012-08-02 19:00:00,27.06144217186461,2.520944383495583,34.574123674737265,26.28200673047729
2012-08-02 20:00:00,0.0,-4.326838819596284,2.439888101612651e-12,26.37832355720332
2012-08-02 21:00:00,0.0,-4.630386254777401,2.807295668390534e-12,27.618481032112527
2012-08-02 22:00:00,0.0,-4.539640523126737,2.967428686071502e-12,27.24648677521964
2012-08-02 23:00:00,0.0,-3.504233902016523,1.3294587186157277e-12,22.752528361363545
2012-08-03 00:00:00,0.0,-3.04755440355368,1.2329982115972162e-11,20.59808456775187
2012-08-03 01:00:00,0.0,-3.554713174804404,1.7170151170087996e-11,22.964939464750103
2012-08-03 02:00:00,0.0,-3.2406420269463574,1.4080277251856444e-11,21.55093052439753
2012-08-03 03:00:00,0.0,-3.225158225079748,1.0740603612073516e-11,21.427953641116403
2012-08-03 04:00:00,0.0,-2.9371209965086478,1.3122845889999356e-11,19.89977348956006
2012-08-03 05:00:00,2.394357301244,-1.9012537225215052,2.257562363759528,19.22257068428786
2012-08-03 06:00:00,54.14432929446667,10.176970115139223,83.2159129094075,22.32884767915641
2012-08-03 07:00:00,215.97009697300055,14.799804681735434,129.6784734453922,26.030260857949088
2012-08-03 08:00:00,378.7396267600339,14.118585341587034,156.0440534839079,28.209865778271705
2012-08-03 09:00:00,452.99533833738514,11.813657236303593,151.66485851838215,30.243204652932377
2012-08-03 10:00:00,460.0278285474974,10.000850992632795,138.99318035729817,31.27654565780699
2012-08-03 11:00:00,445.6024614938772,8.808145793963003,128.13904361537428,31.899546338863217
2012-08-03 12:00:00,520.6896969806855,4.6562847082125725,81.33360746683593,34.061417043239885
